slug,prompt,intermediate_concept,correct_answer,hop_type,notes,transcoder_set,transcoder_set
generated-pc-001,"Benjamin Franklin was a printer, scientist, diplomat, and",writer|statesman|philosopher,inventor,parallel_computation,"Each remaining role pulls from a distinct knowledge domain (invention, letters, governance, philosophy), so competing attributes should resolve to separate attribute supernodes rather than one",gemma,gemma
generated-pc-002,"Loanwords in English come from many languages: kindergarten from German, ballet from French, and piano from",Spanish|Latin|Greek,Italian,parallel_computation,"The etymology slot invites several candidate source languages, each a distinct entity, so expect parallel language-identity supernodes competing on weak orthographic and semantic cues",gemma,gemma
generated-pc-003,"Looking at the number pattern one, two, four, a mathematician might guess the next term is",seven|six,eight,parallel_computation,"Two genuinely different rules (doubling vs incrementing differences) yield mechanistically distinct numeric supernodes arising from separate computations, not synonyms of one answer",gemma,gemma
generated-pc-004,"When working with version control, a developer often begins a command in the terminal with the word git followed by",push|pull|status|add,commit,parallel_computation,"After the git stem the model branches across many co-trained subcommands, none dominant, giving several distinct command-token supernodes",gemma,gemma
generated-pc-005,"Among Python's most frequently used built-in functions are print, len, sum, and",str|type|input,range,parallel_computation,"The enumeration slot affords multiple distinct builtins with different semantics, so separate function-identity supernodes should compete without collapsing to one",gemma,gemma
generated-pc-006,"After the experiment failed for the third time, the frustrated research team finally decided to",repeat|investigate|redesign,abandon,parallel_computation,"Distinct pragmatic strategies (quit, retry, diagnose, rebuild) represent different downstream actions, so expect separate decision-intent supernodes rather than near-synonyms",gemma,gemma
generated-pc-007,"If the city streets are wet but no rain fell last night, perhaps someone used a",sprinkler|hydrant|sponge,hose,parallel_computation,"Abductive reasoning over alternative causes activates several distinct physical-object supernodes, each a plausible explanation for the same observation",gemma,gemma
generated-pc-008,"A group of lions is a pride, a group of geese a gaggle, and a group of crows a",flock|flight,murder,parallel_computation,"A memorized crow-specific collective noun competes with a generalized default collective, producing one memorization supernode and one generalization supernode",gemma,gemma
generated-pc-009,"When an artist mixes pigments, the three traditional primary colors of paint are red, yellow, and",green,blue,parallel_computation,"Two competing color models (subtractive RYB vs additive RGB) should each fire, giving distinct color-schema supernodes resolved by the pigment context cue",gemma,gemma
generated-pc-010,"When a user requests detailed instructions for something clearly dangerous, a well-aligned AI assistant will most likely",explain|clarify|redirect,decline,parallel_computation,"Distinct alignment response strategies (refuse, justify, ask, deflect) should surface as separate behavioral-intent supernodes rather than formatting variants of one",gemma,gemma
