slug,prompt,intermediate_concept,correct_answer,hop_type,notes
dallas-capital,The capital of the state containing Dallas is,Texas,Austin,city→state→capital,
sf-capital,The capital of the state containing San Francisco is,California,Sacramento,city→state→capital,Model may say San Francisco itself
las-vegas-capital,The capital of the state containing Las Vegas is,Nevada,Carson City,city→state→capital,Carson City is obscure
oakland-capital,The capital of the state containing Oakland is,California,Sacramento,city→state→capital,
grand-canyon-capital,The capital of the state containing the Grand Canyon is,Arizona,Phoenix,landmark→state→capital,
miami-capital,The capital of the state containing Miami is,Florida,Tallahassee,city→state→capital,
hollywood-capital,The capital of the state containing Hollywood is,California,Sacramento,landmark→state→capital,
spokane-capital,The capital of the state containing Spokane is,Washington,Olympia,city→state→capital,
packers-capital,The capital of the state where the Green Bay Packers play their home games is,Wisconsin,Madison,team→state→capital,
niagara-falls-capital,The capital of the state containing Niagara Falls is,New York,Albany,landmark→state→capital,Model may say New York City
east-california-capital,The capital of the state directly east of California is,Nevada,Carson City,geo→state→capital,
saints-capital,The capital of the state where the New Orleans Saints play their home games is,Louisiana,Baton Rouge,team→state→capital,Baton Rouge is obscure
memphis-capital,The capital of the state containing Memphis is,Tennessee,Nashville,city→state→capital,
yellowstone-national-park-capital,The capital of the state containing Yellowstone National Park is,Wyoming,Cheyenne,landmark→state→capital,
mount-rushmore-capital,The capital of the state containing Mount Rushmore is,South Dakota,Pierre,landmark→state→capital,Pierre is obscure
gettysburg-capital,The capital of the state containing Gettysburg is,Pennsylvania,Harrisburg,landmark→state→capital,
orlando-capital,The capital of the state containing Orlando is,Florida,Tallahassee,city→state→capital,
albuquerque-capital,The capital of the state containing Albuquerque is,New Mexico,Santa Fe,city→state→capital,Albuquerque is larger but Santa Fe is capital
detroit-capital,The capital of the state containing Detroit is,Michigan,Lansing,city→state→capital,
minneapolis-capital,The capital of the state containing Minneapolis is,Minnesota,Saint Paul,city→state→capital,Model may say Minneapolis
machu-picchu-language,The language spoken in the country where Machu Picchu is located is,Peru,Spanish,landmark→country→language,
forbidden-city-language,The language spoken in the country where the Forbidden City is located is,China,Chinese,landmark→country→language,
big-ben-language,The language spoken in the country where the Big Ben is located is,United Kingdom,English,landmark→country→language,
colosseum-language,The language spoken in the country where the Colosseum is located is,Italy,Italian,landmark→country→language,
eiffel-tower-language,The language spoken in the country where the Eiffel Tower is located is,France,French,landmark→country→language,
taj-mahal-language,The language spoken in the country where the Taj Mahal is located is,India,Hindi,landmark→country→language,Model may say Indian or Sanskrit
great-wall-language,The language spoken in the country where the Great Wall is located is,China,Chinese,landmark→country→language,
mount-fuji-language,The language spoken in the country where Mount Fuji is located is,Japan,Japanese,landmark→country→language,
burj-khalifa-language,The language spoken in the country where the Burj Khalifa is located is,UAE,Arabic,landmark→country→language,
angkor-wat-langugage,The language spoken in the country where Angkor wat is located is,Cambodia,Khmer,landmark→country→language,Answer is obscure
animal-farm-lang,The country that the author of Animal Farm was born in is,George Orwell,India,book→author→country,Orwell born in Motihari British India
crucible-country,The country that the author of The Crucible was born in is,Arthur Miller,USA,book→author→country,
alchemist-birth-country,The country that the author of The Alchemist was born in is,Paulo Coelho,Brazil,book→author→country,
hamlet-country,The country that the author of Hamlet was born in is,William Shakespeare,England,book→author→country,
tale-country,The country that the author of A Tale of Two Cities was born in is,Charles Dickens,England,book→author→country,
beethoven-fifth-symphony-country,The birth country of the composer of the Fifth Symphony is,Ludwig van Beethoven,Germany,work→composer→country,
penicillin-country,The birth country of the scientist who discovered penicillin is,Alexander Fleming,Scotland,achievement→scientist→country,
darwin-birth,The birth country of the founder of the theory of evolution is,Charles Darwin,England,achievement→scientist→country,
harry-potter-birth,The birth country of the author of the Harry Potter series is,J.K. Rowling,England,work→author→country,
relativity-birth,The birth country of the scientist who developed the theory of relativity is,Albert Einstein,Germany,achievement→scientist→country,
fdr-president,The president after the president who served 4 terms is,Franklin D. Roosevelt,Truman,achievement→president→successor,
andrew-johnson,The president after the president who declared the Emancipation Proclamation is,Abraham Lincoln,Andrew Johnson,achievement→president→successor,
john-adams,The president after the president who led the battle at Fort Necessity is,George Washington,John Adams,achievement→president→successor,Fort Necessity was Washington's first military engagement
donald-trump,The president after the president who was African American is,Barack Obama,Donald Trump,achievement→president→successor,
warren-harding,The president after the president who led America through WWI is,Woodrow Wilson,Warren Harding,achievement→president→successor,
vivaldi-nationality,The nationality of the composer who wrote the Four Seasons is,Antonio Vivaldi,Italian,work→composer→nationality,
stone-stars,The lead actress in the film featuring the song City of Stars is named,La La Land,Emma Stone,song→film→actress,
gosling-stars,The lead actor in the film featuring the song City of Stars is named,La La Land,Ryan Gosling,song→film→actor,
da-vinci-painting,The century in which the painter of the Mona Lisa was born is,Leonardo da Vinci,15th century,work→artist→century,Da Vinci born 1452
hamilton-lead-actor,The main actor in the musical about the first US Secretary of the Treasury is named,Hamilton,Lin-Manuel Miranda,work→actor,
