slug,prompt,intermediate_concept,correct_answer,hop_type,notes
social-psychology-s23-14-pl,"At present, ethical standards regulate research, and pluralistic and multicultural perspectives to the social",N/A,sciences,next-token prediction,wikipedia article: Social psychology | top1_prob: 0.400
jos-constanza-s1-9-pl,"Constanza (born September 1, 1983) is a Dominican former",N/A,professional,next-token prediction,wikipedia article: José Constanza | top1_prob: 0.400
farmer-not-so-john-album-s0-12-pl,Farmer Not So John is the self-titled debut album from the band,N/A,farmer,next-token prediction,wikipedia article: Farmer Not So John (album) | top1_prob: 0.401
lightricks-s13-8-pl,In September 2021 Lightricks announced a series D,N/A,funding,next-token prediction,wikipedia article: Lightricks | top1_prob: 0.399
el-tranquilo-group-s2-8-pl,Fossil flora and purported fossils of the prosauropod,N/A,dinosaur,next-token prediction,wikipedia article: El Tranquilo Group | top1_prob: 0.399
crime-kings-s1-8-pl,The film is based on the real life,N/A,story,next-token prediction,wikipedia article: Crime Kings | top1_prob: 0.399
shoeburyness-railway-station-s32-9-pl,"Services were routed via Tilbury and, when the shorter",N/A,route,next-token prediction,wikipedia article: Shoeburyness railway station | top1_prob: 0.398
1952-san-francisco-49ers-season-s10-10-pl,Note: Tie games were not officially counted in the standings,N/A,until,next-token prediction,wikipedia article: 1952 San Francisco 49ers season | top1_prob: 0.402
uac-power-hitters-s0-15-pl,"The Unlimited Athletics Club Power Hitters, shortened as the UAC Power Hitters, were a women's",N/A,professional,next-token prediction,wikipedia article: UAC Power Hitters | top1_prob: 0.398
elephant-tusk-texas-s2-12-pl,The mountain is an igneous intrusion composed of rhyolite which formed 29,N/A,million,next-token prediction,wikipedia article: Elephant Tusk (Texas) | top1_prob: 0.398
wildwood-saskatoon-s46-11-pl,"McKercher Drive, a north-south arterial road, roughly bisects the neighbourhood; Acadia",N/A,drive,next-token prediction,"wikipedia article: Wildwood, Saskatoon | top1_prob: 0.402"
opbrakel-s17-8-pl,The municipality covered an area of 8.42 square,N/A,kilometres,next-token prediction,wikipedia article: Opbrakel | top1_prob: 0.402
tell-tayinat-s7-12-pl,"Archaeological excavation at the tell has indicated, in conjunction with ancient written",N/A,sources,next-token prediction,wikipedia article: Tell Tayinat | top1_prob: 0.398
francis-zorzi-s7-15-pl,"Indeed, through inheritance and ""mercantile venture"" he had obtained ""a very fine estate"" and great",N/A,wealth,next-token prediction,wikipedia article: Francis Zorzi | top1_prob: 0.398
odela-railway-station-s0-9-pl,Odela Railway Station is a 2022 Indian Telugu-language crime,N/A,thriller,next-token prediction,wikipedia article: Odela Railway Station | top1_prob: 0.403
willis-f-denny-s4-10-pl,A number of his works are listed on the National,N/A,register,next-token prediction,wikipedia article: Willis F. Denny | top1_prob: 0.397
psychology-s18-9-pl,"Typically, the latter group of psychologists works in academic",N/A,settings,next-token prediction,wikipedia article: Psychology | top1_prob: 0.397
the-cambridge-medieval-history-s25-14-pl,"In 1966 and 1967, a new edition of volume four was published in two",N/A,parts,next-token prediction,wikipedia article: The Cambridge Medieval History | top1_prob: 0.397
sydney-opera-house-s26-12-pl,"Drama Theatre: A proscenium theatre with 544 seats, used by the Sydney",N/A,theatre,next-token prediction,wikipedia article: Sydney Opera House | top1_prob: 0.403
economy-of-bengaluru-s10-12-pl,One of the important factors spurring Bengaluru's growth was heavy state government,N/A,investment,next-token prediction,wikipedia article: Economy of Bengaluru | top1_prob: 0.405
byzantine-empire-s45-8-pl,"Having been granted citizenship, the empire's subjects considered",N/A,themselves,next-token prediction,wikipedia article: Byzantine Empire | top1_prob: 0.395
gl-shaug-church-s3-11-pl,"The red, wooden stave church was built in a long church",N/A,style,next-token prediction,wikipedia article: Gløshaug Church | top1_prob: 0.395
total-social-security-accounts-s17-10-pl,As far as the comparability of the Swiss Total Social,N/A,security,next-token prediction,wikipedia article: Total Social Security Accounts | top1_prob: 0.395
david-eckersley-s16-9-pl,Dave Eckersley won caps for England while at St,N/A,helens,next-token prediction,wikipedia article: David Eckersley | top1_prob: 0.395
sixth-of-the-month-s2-9-pl,Sixth of January Sixth of February Sixth of March,N/A,sixth,next-token prediction,wikipedia article: Sixth of the month | top1_prob: 0.395
