slug,prompt,transcoder_set
dallas-capital,The capital of the state containing Dallas is,gemma
sf-capital,The capital of the state containing San Francisco is,gemma
las-vegas-capital,The capital of the state containing Las Vegas is,gemma
oakland-capital,The capital of the state containing Oakland is,gemma
grand-canyon-capital,The capital of the state containing the Grand Canyon is,gemma
miami-capital,The capital of the state containing Miami is,gemma
hollywood-capital,The capital of the state containing Hollywood is,gemma
spokane-capital,The capital of the state containing Spokane is,gemma
packers-capital,The capital of the state where the Green Bay Packers play their home games is,gemma
niagara-falls-capital,The capital of the state containing Niagara Falls is,gemma
east-california-capital,The capital of the state directly east of California is,gemma
saints-capital,The capital of the state where the New Orleans Saints play their home games is,gemma
memphis-capital,The capital of the state containing Memphis is,gemma
yellowstone-national-park-capital,The capital of the state containing Yellowstone National Park is,gemma
mount-rushmore-capital,The capital of the state containing Mount Rushmore is,gemma
gettysburg-capital,The capital of the state containing Gettysburg is,gemma
orlando-capital,The capital of the state containing Orlando is,gemma
albuquerque-capital,The capital of the state containing Albuquerque is,gemma
detroit-capital,The capital of the state containing Detroit is,gemma
minneapolis-capital,The capital of the state containing Minneapolis is,gemma
machu-picchu-language,The language spoken in the country where Machu Picchu is located is,gemma
forbidden-city-language,The language spoken in the country where the Forbidden City is located is,gemma
big-ben-language,The language spoken in the country where the Big Ben is located is,gemma
colosseum-language,The language spoken in the country where the Colosseum is located is,gemma
eiffel-tower-language,The language spoken in the country where the Eiffel Tower is located is,gemma
taj-mahal-language,The language spoken in the country where the Taj Mahal is located is,gemma
great-wall-language,The language spoken in the country where the Great Wall is located is,gemma
mount-fuji-language,The language spoken in the country where Mount Fuji is located is,gemma
burj-khalifa-language,The language spoken in the country where the Burj Khalifa is located is,gemma
angkor-wat-langugage,The language spoken in the country where Angkor wat is located is,gemma
animal-farm-lang,The country that the author of Animal Farm was born in is,gemma
crucible-country,The country that the author of The Crucible was born in is,gemma
alchemist-birth-country,The country that the author of The Alchemist was born in is,gemma
hamlet-country,The country that the author of Hamlet was born in is,gemma
tale-country,The country that the author of A Tale of Two Cities was born in is,gemma
beethoven-fifth-symphony-country,The birth country of the composer of the Fifth Symphony is,gemma
penicillin-country,The birth country of the scientist who discovered penicillin is,gemma
darwin-birth,The birth country of the founder of the theory of evolution is,gemma
harry-potter-birth,The birth country of the author of the Harry Potter series is,gemma
relativity-birth,The birth country of the scientist who developed the theory of relativity is,gemma
fdr-president,The president after the president who served 4 terms is,gemma
andrew-johnson,The president after the president who declared the Emancipation Proclamation is,gemma
john-adams,The president after the president who led the battle at Fort Necessity is,gemma
donald-trump,The president after the president who was African American is,gemma
warren-harding,The president after the president who led America through WWI is,gemma
vivaldi-nationality,The nationality of the composer who wrote the Four Seasons is,gemma
stone-stars,The lead actress in the film featuring the song City of Stars is named,gemma
gosling-stars,The lead actor in the film featuring the song City of Stars is named,gemma
da-vinci-painting,The century in which the painter of the Mona Lisa was born is,gemma
hamilton-lead-actor,The main actor in the musical about the first US Secretary of the Treasury is named,gemma
