slug,variant,hop_type,intermediate_concept,correct_answer,predicted,predicted_prob,model_correct,top_k_rank,rank_score,notes,total_transcoder_nodes,hop_feature_count,hop_feature_fraction,hop_mean_influence,hop_max_influence,hop_found_in_clerp,hop_groups,hop_found_in_groups,hop_found
birmingham-capital,a2,city→state→capital,Alabama,Montgomery,the,0.1744,False,3,0.6,,1561,3,0.0019,0.3269,0.3733,True,['Alabama'],True,True
anchorage-capital,a2,city→state→capital,Alaska,Juneau,Juneau,0.3247,True,1,1.0,,1465,5,0.0034,0.3085,0.3304,True,"['Alaska', 'say Alaska', 'Output: ""Alaska"" (4.1%)']",True,True
grand-canyon-capital,a2,landmark→state→capital,Arizona,Phoenix,Phoenix,0.2733,True,1,1.0,,1901,4,0.0021,0.325,0.3763,True,['Arizona'],True,True
fort-smith-capital,a2,city→state→capital,Arkansas,Little Rock,Fort,0.1292,False,3,0.6,,1910,4,0.0021,0.3158,0.3375,True,"['Arkansas and Little Rock', 'say Arkansas']",True,True
los-angeles-capital,a2,city→state→capital,California,Sacramento,Sacramento,0.293,True,1,1.0,,1545,17,0.011,0.3359,0.3995,True,"['Southern California places', 'California', 'say California', 'Output: ""California"" (6.6%)']",True,True
colorado-springs-capital,a2,city→state→capital,Colorado,Denver,Denver,0.481,True,1,1.0,,1863,7,0.0038,0.3205,0.3762,True,"['Colorado places', 'say Colorado place', 'Emb: ""Colorado""', 'Output: ""Colorado"" (13.1%)']",True,True
new-haven-capital,a2,city→state→capital,Connecticut,Hartford,Hartford,0.3324,True,1,1.0,,1724,6,0.0035,0.3195,0.3868,True,"['Connecticut', 'Output: ""Connecticut"" (6.6%)']",True,True
wilmington-capital,a2,city→state→capital,Delaware,Dover,Raleigh,0.2119,False,3,0.6,,1477,2,0.0014,0.3588,0.3596,True,['Delaware'],True,True
miami-capital,a2,city→state→capital,Florida,Tallahassee,Tallahassee,0.4248,True,1,1.0,,1425,6,0.0042,0.3051,0.3787,True,"['Florida', 'say Florida', 'Output: ""Florida"" (3.8%)']",True,True
savannah-capital,a2,city→state→capital,Georgia,Atlanta,Atlanta,0.1418,True,1,1.0,,1526,6,0.0039,0.3135,0.3888,True,"['Georgia (state)', 'Georgia (general)']",True,True
pearl-harbor-capital,a2,landmark→state→capital,Hawaii,Honolulu,Honolulu,0.5077,True,1,1.0,,1890,5,0.0026,0.3138,0.3686,True,"['Hawaii', 'Output: ""Hawaii"" (7.2%)']",True,True
twin-falls-capital,a2,city→state→capital,Idaho,Boise,Boise,0.1821,True,1,1.0,,1917,1,0.0005,0.3608,0.3608,True,"['Idaho region places', 'Output: ""Idaho"" (8.2%)']",True,True
chicago-capital,a2,city→state→capital,Illinois,Springfield,Illinois,0.2526,False,2,0.8,,1480,10,0.0068,0.3208,0.3763,True,"['Illinois', 'say Illinois', 'Output: ""Illinois"" (25.3%) [target]']",True,True
south-bend-capital,a2,city→state→capital,Indiana,Indianapolis,Indianapolis,0.196,True,1,1.0,,1845,1,0.0005,0.3098,0.3098,True,"['Indiana', 'Output: ""Indiana"" (5.9%)']",True,True
cedar-rapids-capital,a2,city→state→capital,Iowa,Des Moines,Iowa,0.3489,False,2,0.8,,1875,3,0.0016,0.3004,0.3227,True,"['Iowa', 'Output: ""Iowa"" (34.9%) [target]']",True,True
wichita-capital,a2,city→state→capital,Kansas,Topeka,Topeka,0.1805,True,1,1.0,,1452,4,0.0028,0.3157,0.3784,True,"['say Kansas', 'Kansas', 'Output: ""Kansas"" (12.2%)']",True,True
louisville-capital,a2,city→state→capital,Kentucky,Frankfort,Frankfort,0.3357,True,1,1.0,,1491,2,0.0013,0.311,0.3322,True,"['Kentucky', 'Output: ""Kentucky"" (9.3%)']",True,True
new-orleans-capital,a2,city→state→capital,Louisiana,Baton Rouge,Baton,0.419,True,1,1.0,,1623,5,0.0031,0.3021,0.331,True,"['Louisiana', 'Output: ""Louisiana"" (9.7%)']",True,True
bar-harbor-capital,a2,city→state→capital,Maine,Augusta,Augusta,0.3483,True,1,1.0,,1897,5,0.0026,0.3165,0.3603,True,"['Maine place names', 'Maine (U.S. state)']",True,True
baltimore-capital,a2,city→state→capital,Maryland,Annapolis,Annapolis,0.4326,True,1,1.0,,1445,2,0.0014,0.2765,0.2953,True,"['Maryland', 'Output: ""Maryland"" (5.7%)']",True,True
cambridge-capital,a2,city→state→capital,Massachusetts,Boston,Boston,0.2748,True,1,1.0,,1482,5,0.0034,0.3482,0.3959,True,"['Massachusetts', 'say Massachusetts', 'Output: ""Massachusetts"" (4.6%)']",True,True
detroit-capital,a2,city→state→capital,Michigan,Lansing,Lansing,0.523,True,1,1.0,,1426,7,0.0049,0.3243,0.3929,True,"['Michigan', 'Output: ""Michigan"" (7.4%)']",True,True
minneapolis-capital,a2,city→state→capital,Minnesota,Saint Paul,St,0.2521,False,2,0.8,,1522,4,0.0026,0.3168,0.3624,True,"['Minnesota', 'say Minnesota', 'Output: ""Minnesota"" (9.3%)']",True,True
biloxi-capital,a2,city→state→capital,Mississippi,Jackson,Jackson,0.1824,True,1,1.0,,1779,1,0.0006,0.2816,0.2816,True,[],False,True
st-louis-capital,a2,city→state→capital,Missouri,Jefferson City,Jefferson,0.2714,True,1,1.0,,1666,7,0.0042,0.3446,0.392,True,['Missouri'],True,True
billings-capital,a2,city→state→capital,Montana,Helena,Helena,0.3362,True,1,1.0,,1440,4,0.0028,0.3179,0.3667,True,['say Montana'],True,True
omaha-capital,a2,city→state→capital,Nebraska,Lincoln,Lincoln,0.4527,True,1,1.0,,1459,2,0.0014,0.2887,0.3121,True,"['Nebraska', 'Output: ""Nebraska"" (7.7%)']",True,True
las-vegas-capital,a2,city→state→capital,Nevada,Carson City,Reno,0.1613,False,3,0.6,,1633,3,0.0018,0.3144,0.3787,True,"['Las Vegas - Nevada', 'say Nevada', 'Output: ""Nevada"" (11.8%)']",True,True
nashua-capital,a2,city→state→capital,New Hampshire,Concord,Concord,0.4388,True,1,1.0,,1952,1,0.0005,0.3016,0.3016,True,[],False,True
