slug,prompt,transcoder_set
dallas-capital,The capital of the state containing Dallas is,gemma
detroit-capital,The capital of the state containing Detroit is,gemma
miami-capital,The capital of the state containing Miami is,gemma
nba-state,The state containing the city where the Lakers play their home games is,gemma
oakland-capital,The capital of the state containing Oakland is,gemma
buffalo-capital,The capital of the state containing Buffalo is,gemma
las-vegas-capital,The capital of the state containing Las Vegas is,gemma
chicago-capital,The capital of the state containing Chicago is,gemma
east-california-capital,The capital of the state directly east of California is,gemma
east-oregon-capital,The capital of the state directly east of Oregon is,gemma
yellowstone-capital,The capital of the state containing Yellowstone National Park is,gemma
mount-rushmore-capital,The capital of the state containing Mount Rushmore is,gemma
grand-canyon-capital,The capital of the state containing the Grand Canyon is,gemma
niagara-falls-capital,The capital of the state containing Niagara Falls is,gemma
lincoln-birthplace-capital,The capital of the state where Abraham Lincoln was born is,gemma
packers-capital,The capital of the state where the Green Bay Packers play their home games is,gemma
mississippi-source-capital,The capital of the state where the Mississippi River originates is,gemma
hollywood-capital,The capital of the state containing Hollywood is,gemma
saints-capital,The capital of the state where the New Orleans Saints play their home games is,gemma
west-nevada-capital,The capital of the state directly west of Nevada is,gemma
