slug,prompt,intermediate_concept,correct_answer,hop_type,num_hops,notes
mquake-1052-sc1,What faith is linked to the child of Ardashir I?,Ardashir I,Zoroastrianism,shortcut (from mquake-1052),1,Shortcut: 'Ardashir I' substituted directly | original chain: Ardashir I → Shapur I → Zoroastrianism
mquake-1052-sc2,What faith is linked to Shapur I?,Shapur I,Zoroastrianism,shortcut (from mquake-1052),1,Shortcut: 'Shapur I' substituted directly | original chain: Ardashir I → Shapur I → Zoroastrianism
mquake-1108-sc1,What city is home to the headquarters of the university where Ilir Meta was educated?,Ilir Meta,Tirana,shortcut (from mquake-1108),1,Shortcut: 'Ilir Meta' substituted directly | original chain: Ilir Meta → University of Tirana → Tirana
mquake-2012-sc1,Which continent is the country in where the director of The Beatles is a citizen?,The Beatles,Europe,shortcut (from mquake-2012),1,Shortcut: 'The Beatles' substituted directly | original chain: The Beatles → Brian Epstein → United Kingdom → Europe
mquake-2012-sc2,Which continent is the country in where Brian Epstein is a citizen?,Brian Epstein,Europe,shortcut (from mquake-2012),1,Shortcut: 'Brian Epstein' substituted directly | original chain: The Beatles → Brian Epstein → United Kingdom → Europe
mquake-2028-sc1,"What continent is the country located in, where the creator of Lord Voldemort is a citizen?",Lord Voldemort,Europe,shortcut (from mquake-2028),1,Shortcut: 'Lord Voldemort' substituted directly | original chain: Lord Voldemort → J. K. Rowling → United Kingdom → Europe
mquake-2031-sc1,Which language is officially spoken in the country where the director of The Beatles is a citizen?,The Beatles,English,shortcut (from mquake-2031),1,Shortcut: 'The Beatles' substituted directly | original chain: The Beatles → Brian Epstein → United Kingdom → English
mquake-2031-sc2,Which language is officially spoken in the country where Brian Epstein is a citizen?,Brian Epstein,English,shortcut (from mquake-2031),1,Shortcut: 'Brian Epstein' substituted directly | original chain: The Beatles → Brian Epstein → United Kingdom → English
mquake-2056-sc1,"What continent is the country located in, where the director of The Beatles is a citizen?",The Beatles,Europe,shortcut (from mquake-2056),1,Shortcut: 'The Beatles' substituted directly | original chain: The Beatles → Brian Epstein → United Kingdom → Europe
mquake-2056-sc2,What continent is the country located in where Brian Epstein is a citizen?,Brian Epstein,Europe,shortcut (from mquake-2056),1,Shortcut: 'Brian Epstein' substituted directly | original chain: The Beatles → Brian Epstein → United Kingdom → Europe
mquake-2059-sc1,What continent contains the country of citizenship of the founder of Junkers?,Junkers,Europe,shortcut (from mquake-2059),1,Shortcut: 'Junkers' substituted directly | original chain: Junkers → Hugo Junkers → Germany → Europe
mquake-2059-sc2,What continent contains the country of citizenship of Hugo Junkers?,Hugo Junkers,Europe,shortcut (from mquake-2059),1,Shortcut: 'Hugo Junkers' substituted directly | original chain: Junkers → Hugo Junkers → Germany → Europe
mquake-2074-sc1,Which continent is home to the city where the person who founded Tupolev passed away?,Tupolev,Europe,shortcut (from mquake-2074),1,Shortcut: 'Tupolev' substituted directly | original chain: Tupolev → Andrei Tupolev → Moscow → Europe
mquake-2074-sc2,Which continent is home to the city where Andrei Tupolev passed away?,Andrei Tupolev,Europe,shortcut (from mquake-2074),1,Shortcut: 'Andrei Tupolev' substituted directly | original chain: Tupolev → Andrei Tupolev → Moscow → Europe
mquake-2074-sc3,Which continent is home to Moscow?,Moscow,Europe,shortcut (from mquake-2074),1,Shortcut: 'Moscow' substituted directly | original chain: Tupolev → Andrei Tupolev → Moscow → Europe
mquake-2089-sc1,What city is the capital of the country of citizenship of the director of The Beatles?,The Beatles,London,shortcut (from mquake-2089),1,Shortcut: 'The Beatles' substituted directly | original chain: The Beatles → Brian Epstein → United Kingdom → London
mquake-2089-sc2,What city is the capital of the country of citizenship of Brian Epstein?,Brian Epstein,London,shortcut (from mquake-2089),1,Shortcut: 'Brian Epstein' substituted directly | original chain: The Beatles → Brian Epstein → United Kingdom → London
