slug,prompt,intermediate_concept,correct_answer,hop_type,num_hops,notes
generated-cc-001,The theory of general relativity was developed by a physicist born in the country whose present-day capital is,Einstein|Germany|Berlin,Berlin,complex_internal_computation,3,General relativity → Einstein → Germany → its capital Berlin; no chain element appears in the prompt or answer
generated-cc-002,A creature that breathes air through lungs and nurses its young with milk is biologically classified not as a fish but as a,lung breathing|milk nursing|mammal class,mammal,complex_internal_computation,3,Two diagnostic traits (lung breathing; live-milk nursing) → vertebrate class inference → mammal; property-driven categorization not lookup
generated-cc-003,The largest planet in our solar system was given the name of the supreme ancient Roman king of the,Jupiter|Roman king of gods,gods,complex_internal_computation,2,Largest planet → Jupiter → the deity Jupiter is Roman king of the gods → gods; the planet→deity mapping is the load-bearing hop
generated-cc-004,The composer whose Ninth Symphony ends with a choral setting of the Ode to Joy was a native speaker of,Beethoven|German nationality,German,complex_internal_computation,2,Ninth Symphony + Ode to Joy → Beethoven → his native tongue German; answer requires resolving the composer first
generated-cc-005,The capital city of the European nation that gifted the Statue of Liberty to the United States is,France|Paris,Paris,complex_internal_computation,2,Statue of Liberty donor → France → French capital Paris; two-step relational composition
generated-cc-006,"If you add the number of legs on a spider to the number of legs on a beetle, the sum is",spider 8 legs|beetle 6 legs|sum,fourteen,complex_internal_computation,3,Retrieve spider=8 and beetle=6 then add → fourteen; arithmetic over two retrieved facts
generated-cc-007,"If today is the day immediately following Sunday, then tomorrow's day of the week will be",Monday is today|Tuesday is tomorrow,Tuesday,complex_internal_computation,2,Sunday+1 → Monday is today → tomorrow is Tuesday; temporal counterfactual chaining
generated-cc-008,The official currency spent by shoppers in the country that lies directly south of the United States is the,Mexico|peso,peso,complex_internal_computation,2,Country south of the US → Mexico → its currency the peso; geography→nation→currency
generated-cc-009,The only natural number that is simultaneously even and prime is the integer,even-number set|prime-number set|two,two,complex_internal_computation,3,even-set ∩ prime-set = {2} → the integer two; genuine set intersection where neither constraint alone suffices
generated-cc-010,The scientist whose surname became the unit of electrical resistance is also remembered for a law relating voltage and,Ohm|Ohm's law|current,current,complex_internal_computation,3,Unit of resistance → eponym Georg Ohm → Ohm's law V=IR → voltage and current; eponym resolution plus law recall
