slug,prompt,intermediate_concept,correct_answer,hop_type,notes
generated-oi-001,"Tom finished the race ahead of Sam, which means Sam finished",directional relation inversion,behind,other_interesting_structure,"The graph should contain a directional-antonym inversion path (ahead→behind) gated by 'means', which is neither a wide parallel fan nor a single factual lookup but an asymmetric relational-flip topology."
generated-oi-002,"If today is Wednesday, then the day before yesterday was",cyclic ordinal arithmetic,Monday,other_interesting_structure,"Subtracting two positions on a closed weekday cycle is arithmetic over a ring rather than numeric two-operand addition or factual recall, so the notable feature is modular-cycle traversal."
generated-oi-003,"In a world where gravity worked in reverse, dropped objects would float toward the",counterfactual prior suppression,sky,other_interesting_structure,"A counterfactual frame must suppress the default downward-gravity prior and re-route to its opposite, making the notable object a counterfactual-licensed inhibition path rather than parallel or supernode structure."
generated-oi-004,"After the customer paid for the meal, the waiter brought back the correct",frame-element evocation,change,other_interesting_structure,"'change' is a commercial-transaction frame element evoked jointly by pay+meal+waiter with no single lexical trigger, so the structure is distributed frame assembly rather than a 2-hop chain."
generated-oi-005,"The teacher said many students passed, which politely implied that some had",scalar implicature,failed,other_interesting_structure,"The answer is a pragmatically enriched negation of the universal (many→not-all→some failed) cued by 'politely implied', surfacing an implicature path that is not a supernode or parallel computation."
generated-oi-006,"A library is to books what an aquarium is to",proportional analogy transfer,fish,other_interesting_structure,"Proportional analogy forces a container→contents relation to be abstracted and re-applied cross-domain, so the notable feature is a relation-transfer bridge with fish-vs-water (contents-vs-medium) competition."
generated-oi-007,"My father's only sister's husband is, to me, my",kinship relation composition,uncle,other_interesting_structure,"Composing father→sister→husband into 'uncle' is relation-algebra over kinship predicates, a chained relational mapping distinct from single-fact recall or a wide parallel fan."
generated-oi-008,"Economists warned that the overheating economy would eventually need to",conceptual metaphor bridging,cool,other_interesting_structure,"Completing an economic context with a thermal verb requires HEAT-SYSTEM→ECONOMY metaphor features to feed a non-thermal output, making cross-domain conceptual-metaphor bridging the notable structure."
generated-oi-009,"Although it names a color, the term in quotation marks is, strictly speaking, just a",use-mention distinction,word,other_interesting_structure,"The quoted item must be treated as a linguistic object rather than its referent, so the interesting topology is color-features being overridden by a metalinguistic type/token path."
generated-oi-010,"The volcano, which had been dormant for centuries, suddenly erupted",additive presupposition,again,other_interesting_structure,"'again' encodes a presupposition of an unmentioned prior eruption, so the notable structure is the model representing an absent antecedent event rather than recalling or computing a stored value."
