slug,prompt,transcoder_set
elvis-capital,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The capital of the state containing the birthplace of Elvis Presley is
A:",gemma
mozart-capital,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The capital of the country containing the birthplace of Mozart is
A:",gemma
shakespeare-capital,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The capital of the country where the author of Hamlet was born is
A:",gemma
zuckerberg-capital,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The capital of the state containing the university Mark Zuckerberg attended is
A:",gemma
iphone-capital,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The capital of the country containing the headquarters of the maker of the iPhone is
A:",gemma
beethoven-currency,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The currency of the country where the composer Beethoven died is
A:",gemma
obama-capital,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The capital of the state where the 44th US president was born is
A:",gemma
tesla-currency,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The currency of the country containing the headquarters of the company that makes the Model S is
A:",gemma
relativity-continent,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The continent containing the country where the scientist who developed the theory of relativity was born is
A:",gemma
davinci-capital,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The capital of the country where the painter of the Mona Lisa was born is
A:",gemma
hamlet-currency,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The currency of the country containing the birthplace of the author of Hamlet is
A:",gemma
tomsawyer-capital,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The capital of the state containing the birthplace of the author of Tom Sawyer is
A:",gemma
monalisa-currency,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The currency of the country containing the birthplace of the painter of the Mona Lisa is
A:",gemma
relativity-capital,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The capital of the country containing the birthplace of the scientist who developed relativity is
A:",gemma
iphone-currency,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The currency of the country containing the headquarters of the company that makes the iPhone is
A:",gemma
moonlanding-capital,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The capital of the state containing the launch site of the first crewed mission to land on the moon is
A:",gemma
dune-capital,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The capital of the state containing the birthplace of the author of Dune is
A:",gemma
gravity-currency,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The currency of the country containing the birthplace of the scientist who formulated the law of universal gravitation is
A:",gemma
starrynight-capital,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The capital of the country containing the birthplace of the painter of Starry Night is
A:",gemma
fahrenheit-capital,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The capital of the state containing the birthplace of the author of Fahrenheit 451 is
A:",gemma
elvis-currency,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The currency of the country containing the capital of the state containing the birthplace of Elvis Presley is
A:",gemma
mozart-continent,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The continent containing the capital of the country containing the birthplace of Mozart is
A:",gemma
hamlet-continent,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The continent containing the capital of the country where the author of Hamlet was born is
A:",gemma
gatsby-currency,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The currency of the country containing the capital of the state containing the birthplace of the author of The Great Gatsby is
A:",gemma
davinci-continent,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The continent containing the capital of the country where the painter of the Mona Lisa was born is
A:",gemma
einstein-continent,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The continent containing the capital of the country where the scientist who developed the theory of relativity was born is
A:",gemma
iphone-continent,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The continent containing the capital of the country containing the headquarters of the maker of the iPhone is
A:",gemma
wagner-continent,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The continent containing the capital of the country where the composer Wagner died is
A:",gemma
newton-continent,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The continent containing the capital of the country where the scientist who formulated the law of universal gravitation was born is
A:",gemma
vangogh-continent,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: The continent containing the capital of the country containing the birthplace of the painter of Starry Night is
A:",gemma
