slug,prompt,intermediate_concept,correct_answer,hop_type,notes
generated-pc-001,"Leonardo da Vinci is celebrated not only as a painter but also as an",engineer|architect|anatomist,inventor,parallel_computation,"Painter is already given, so the model must retrieve a second da Vinci profession; engineer, architect, inventor, and anatomist are each strongly associated with him and should form separate role supernodes."
generated-pc-002,"Among the most counterintuitive predictions of quantum theory, beyond entanglement and superposition, is the phenomenon known as quantum",teleportation|gravity|computing,tunneling,parallel_computation,"The 'quantum ___' frame admits several well-known but distinct continuations (tunneling, teleportation, computing, gravity), so competing supernodes should form rather than one dominant path."
generated-pc-003,"Geographers have long debated which river is truly the longest, with most arguments coming down to the Nile or the",Yangtze|Mississippi|Congo,Amazon,parallel_computation,"A genuine two-way factual dispute (Nile vs Amazon as longest river) should yield two strongly separated supernodes plus weaker ones for other long rivers."
generated-pc-004,"As the Western Roman Empire collapsed, its provinces were overrun by Germanic peoples such as the Goths, the Vandals, and the",Saxons|Lombards|Angles,Franks,parallel_computation,"Several Germanic peoples (Franks, Saxons, Lombards, Angles) are equally valid continuations, so the graph should hold parallel tribe supernodes rather than collapsing onto one."
generated-pc-005,"Restlessly reinventing his sound, Miles Davis helped pioneer cool jazz, hard bop, modal jazz, and",funk|free|swing,fusion,parallel_computation,"Miles Davis is tied to multiple distinct successor styles (fusion, funk, free), so competing subgenre supernodes should appear after the modal-jazz cue."
generated-pc-006,"A poet working in a traditional fixed form might choose to compose a sonnet, a villanelle, a haiku, or an",epic|elegy|epigram,ode,parallel_computation,"The 'an ___' constraint plus the fixed-form frame activates several vowel-initial poetic forms (ode, epic, elegy, epigram) as separate form supernodes."
generated-pc-007,"Major schools of economic thought include the classical, the Keynesian, the Marxist, and the",monetarist|neoclassical|behavioral,Austrian,parallel_computation,"Austrian, monetarist, neoclassical, and behavioral are all recognized schools, producing parallel school-of-thought supernodes rather than one forced token."
generated-pc-008,"Sociologists study how a society's core institutions, such as the family, religion, education, and the",state|government|media,economy,parallel_computation,"Economy, state, government, and media are all canonical social institutions, so distinct institution supernodes should compete for the final slot."
generated-pc-009,"The summer Olympic program is built around endurance and team sports such as swimming, athletics, rowing, and",fencing|sailing|boxing,cycling,parallel_computation,"Many Olympic disciplines fit the list (cycling, fencing, sailing, boxing), giving separate sport supernodes rather than a single dominant continuation."
generated-pc-010,"Theoretical linguistics is traditionally divided into the core areas of phonology, morphology, syntax, and",pragmatics|phonetics|prosody,semantics,parallel_computation,"Semantics, pragmatics, phonetics, and prosody are distinct linguistic subfields, so parallel subfield supernodes are expected after the syntax cue."
