slug,variant,model_correct,intermediate_concept,correct_answer,predicted,prompt,n_features_amplified,baseline_predicted,amplified_predicted,flipped_correct,flipped_to_middlehop,baseline_rank,amplified_rank,rank_change,baseline_prob,amplified_prob,prob_gain,baseline_top5,amplified_top5,skipped
birmingham-capital,a2,False,Alabama,Montgomery,the,The capital of the state containing Birmingham is,3,the,Birmingham,False,False,13,5,-8,0.015137,0.03418,0.019043,"the(18.5%), Birmingham(9.9%), (8.7%), called(5.3%), located(5.3%)","Birmingham(32.4%), Alabama(25.2%), the(6.4%), (3.4%), Montgomery(3.4%)",
anchorage-capital,a2,True,Alaska,Juneau,Juneau,The capital of the state containing Anchorage is,5,Juneau,Juneau,True,False,1,1,0,0.308594,0.314453,0.005859,"Juneau(30.9%), Anchorage(16.5%), the(11.4%), (6.1%), Alaska(4.2%)","Juneau(31.4%), Anchorage(27.7%), Alaska(24.5%), Fairbanks(6.2%), the(0.8%)",
grand-canyon-capital,a2,True,Arizona,Phoenix,Phoenix,The capital of the state containing the Grand Canyon is,6,Phoenix,Phoenix,True,False,1,1,0,0.283203,0.287109,0.003906,"Phoenix(28.3%), Flagstaff(7.2%), Prescott(7.2%), (6.3%), :(5.6%)","Phoenix(28.7%), Flagstaff(13.6%), Arizona(10.5%), Prescott(9.3%), Tucson(6.4%)",
fort-smith-capital,a2,False,Arkansas,Little Rock,Fort,The capital of the state containing Fort Smith is,3,Fort,Arkansas,False,True,4,3,-1,0.079102,0.105469,0.026367,"Fort(13.0%), the(10.2%), (8.9%), Little(7.9%), Fayetteville(7.0%)","Arkansas(22.4%), Fayetteville(15.3%), Little(10.5%), Fort(9.3%), the(5.0%)",
los-angeles-capital,a2,True,California,Sacramento,Sacramento,The capital of the state containing Los Angeles is,12,Sacramento,Sacramento,True,False,1,1,0,0.285156,0.326172,0.041016,"Sacramento(28.5%), the(11.9%), (7.2%), California(7.2%), called(5.6%)","Sacramento(32.6%), California(25.4%), Los(8.3%), San(5.7%), Santa(3.4%)",
new-haven-capital,a2,True,Connecticut,Hartford,Hartford,The capital of the state containing New Haven is,4,Hartford,Hartford,True,False,1,1,0,0.335938,0.398438,0.0625,"Hartford(33.6%), the(10.9%), Connecticut(6.6%), (5.8%), New(4.5%)","Hartford(39.8%), Connecticut(24.1%), Bridgeport(6.9%), the(2.9%), CT(2.9%)",
wilmington-capital,a2,False,Delaware,Dover,Raleigh,The capital of the state containing Wilmington is,2,Raleigh,Raleigh,False,False,3,2,-1,0.083984,0.10791,0.023926,"Raleigh(20.2%), the(9.5%), Dover(8.4%), Wilmington(6.5%), (5.8%)","Raleigh(17.8%), Wilmington(10.8%), Dover(10.8%), Delaware(8.4%), the(7.4%)",
miami-capital,a2,True,Florida,Tallahassee,Tallahassee,The capital of the state containing Miami is,7,Tallahassee,Tallahassee,True,False,1,1,0,0.439453,0.339844,-0.099609,"Tallahassee(43.9%), the(7.6%), Miami(6.7%), (5.9%), Florida(4.1%)","Tallahassee(34.0%), Florida(20.6%), Miami(12.5%), Jacksonville(5.2%), Tampa(4.1%)",
savannah-capital,a2,True,Georgia,Atlanta,Atlanta,The capital of the state containing Savannah is,6,Atlanta,Atlanta,True,False,1,1,0,0.144531,0.304688,0.160156,"Atlanta(14.5%), Augusta(11.3%), the(11.3%), Savannah(7.8%), (6.8%)","Atlanta(30.5%), Georgia(23.7%), Savannah(12.7%), Augusta(9.9%), Macon(6.8%)",
pearl-harbor-capital,a2,True,Hawaii,Honolulu,Honolulu,The capital of the state containing Pearl Harbor is,4,Honolulu,Honolulu,True,False,1,1,0,0.519531,0.535156,0.015625,"Honolulu(52.0%), Hawaii(7.0%), :(4.9%), the(4.3%), (3.8%)","Honolulu(53.5%), Hawaii(13.6%), :(3.4%), Oahu(3.4%), (2.7%)",
twin-falls-capital,a2,True,Idaho,Boise,Boise,The capital of the state containing Twin Falls is,1,Boise,Twin,False,False,1,2,1,0.200195,0.154297,-0.045898,"Boise(20.0%), Twin(12.2%), the(10.7%), (7.4%), Idaho(7.4%)","Twin(17.5%), Boise(15.4%), the(9.3%), Idaho(8.3%), (6.4%)",
chicago-capital,a2,False,Illinois,Springfield,Illinois,The capital of the state containing Chicago is,1,Illinois,the,False,False,2,1,-1,0.137695,0.169922,0.032227,"Illinois(25.8%), Springfield(13.8%), the(12.2%), (7.4%), called(4.0%)","the(17.0%), Springfield(17.0%), (10.3%), called(6.2%), :(4.9%)",
south-bend-capital,a2,True,Indiana,Indianapolis,Indianapolis,The capital of the state containing South Bend is,3,Indianapolis,Indianapolis,True,False,1,1,0,0.217773,0.449219,0.231445,"Indianapolis(21.8%), the(9.1%), South(7.1%), (6.2%), Indiana(6.2%)","Indianapolis(44.9%), Indiana(30.9%), Fort(1.5%), the(1.4%), South(1.4%)",
cedar-rapids-capital,a2,False,Iowa,Des Moines,Iowa,The capital of the state containing Cedar Rapids is,2,Iowa,Iowa,False,True,2,2,0,0.228516,0.318359,0.089844,"Iowa(33.2%), Des(22.9%), the(5.8%), (5.1%), Cedar(4.0%)","Iowa(46.5%), Des(31.8%), Cedar(3.8%), Ames(2.0%), Dubuque(1.6%)",
