slug,prompt,intermediate_concept,correct_answer,hop_type,notes
anthropic-dallas-capital-fact,Fact: the capital of the state containing Dallas is,Texas,Austin,city→state→capital,
anthropic-oakland-capital-fact,Fact: the capital of the state containing Oakland is,California,Sacramento,city→state→capital,
anthropic-savannah-capital-fact,Fact: the capital of the state containing Savannah is,Georgia,Atlanta,city→state→capital,
anthropic-vancouver-capital-fact,Fact: the capital of the province containing Vancouver is,British Columbia,Victoria,city→province→capital,
anthropic-shanghai-capital-fact,Fact: the capital of the country containing Shanghai is,China,Beijing,city→country→capital,
anthropic-thessaloniki-capital-fact,Fact: the capital of the empire containing Thessaloniki is,Byzantine Empire,Constantinople,city→empire→capital,
anthropic-small-opposite-en,The opposite of 'small' is ',antonym,big,word→antonym,
anthropic-small-opposite-fr,Le contraire de 'petit' est ',antonyme,grand,word→antonym→French,
anthropic-small-synonym,A synonym of 'small' is ',synonym,little,word→synonym,Not explicitly stated in paper
anthropic-calc-addition,calc: 36+59=,arithmetic,95,arithmetic,
anthropic-assert-multiplication,assert (4 + 5) * 3 ==,arithmetic,27,arithmetic,
anthropic-jordan-sport,Which sport does Michael Jordan play? Answer in one word.,Michael Jordan,basketball,entity→sport,
anthropic-batkin-sport,Which sport does Michael Batkin play? Answer in one word.,Michael Batkin,,entity→sport,Fictional person — model hallucinates
anthropic-karpathy-paper,Name one paper written by Andrej Karpathy.,Andrej Karpathy,,entity→paper,Exact output not stated in paper
anthropic-batson-paper,Name one paper written by Josh Batson.,Josh Batson,,entity→paper,Exact output not stated in paper; used to study hallucination
anthropic-acronym-ndag,The National Digital Analytics Group (N,National Digital Analytics Group,DAG,phrase→acronym,Completes the acronym to NDAG
anthropic-jordan-sport-fact,Fact: Michael Jordan plays the sport of,Michael Jordan,basketball,entity→sport,65% model confidence per paper
anthropic-induction-aunt-sally,I always loved visiting Aunt Sally. Whenever I was feeling sad Aunt,Aunt Sally,Sally,induction,Induction head example
anthropic-zagreb-analogy,Zagreb:Croatia::Copenhagen:,Denmark,Denmark,analogy,Zagreb is capital of Croatia; Copenhagen is capital of Denmark
