Slug,Prompt,transcoder_set
birmingham-capital,The capital of the state containing Birmingham is,gemma
anchorage-capital,The capital of the state containing Anchorage is,gemma
grand-canyon-capital,The capital of the state containing the Grand Canyon is,gemma
fort-smith-capital,The capital of the state containing Fort Smith is,gemma
los-angeles-capital,The capital of the state containing Los Angeles is,gemma
colorado-springs-capital,The capital of the state containing Colorado Springs is,gemma
new-haven-capital,The capital of the state containing New Haven is,gemma
wilmington-capital,The capital of the state containing Wilmington is,gemma
miami-capital,The capital of the state containing Miami is,gemma
savannah-capital,The capital of the state containing Savannah is,gemma
pearl-harbor-capital,The capital of the state containing Pearl Harbor is,gemma
twin-falls-capital,The capital of the state containing Twin Falls is,gemma
chicago-capital,The capital of the state containing Chicago is,gemma
south-bend-capital,The capital of the state containing South Bend is,gemma
cedar-rapids-capital,The capital of the state containing Cedar Rapids is,gemma
wichita-capital,The capital of the state containing Wichita is,gemma
louisville-capital,The capital of the state containing Louisville is,gemma
new-orleans-capital,The capital of the state containing New Orleans is,gemma
bar-harbor-capital,The capital of the state containing Bar Harbor is,gemma
baltimore-capital,The capital of the state containing Baltimore is,gemma
cambridge-capital,The capital of the state containing Cambridge is,gemma
detroit-capital,The capital of the state containing Detroit is,gemma
minneapolis-capital,The capital of the state containing Minneapolis is,gemma
biloxi-capital,The capital of the state containing Biloxi is,gemma
st-louis-capital,The capital of the state containing St. Louis is,gemma
billings-capital,The capital of the state containing Billings is,gemma
omaha-capital,The capital of the state containing Omaha is,gemma
las-vegas-capital,The capital of the state containing Las Vegas is,gemma
nashua-capital,The capital of the state containing Nashua is,gemma
atlantic-city-capital,The capital of the state containing Atlantic City is,gemma
albuquerque-capital,The capital of the state containing Albuquerque is,gemma
niagara-falls-capital,The capital of the state containing Niagara Falls is,gemma
charlotte-capital,The capital of the state containing Charlotte is,gemma
fargo-capital,The capital of the state containing Fargo is,gemma
cleveland-capital,The capital of the state containing Cleveland is,gemma
tulsa-capital,The capital of the state containing Tulsa is,gemma
portland-or-capital,The capital of the state containing Portland is,gemma
philadelphia-capital,The capital of the state containing Philadelphia is,gemma
newport-capital,The capital of the state containing Newport is,gemma
myrtle-beach-capital,The capital of the state containing Myrtle Beach is,gemma
mount-rushmore-capital,The capital of the state containing Mount Rushmore is,gemma
memphis-capital,The capital of the state containing Memphis is,gemma
dallas-capital,The capital of the state containing Dallas is,gemma
provo-capital,The capital of the state containing Provo is,gemma
burlington-vt-capital,The capital of the state containing Burlington is,gemma
virginia-beach-capital,The capital of the state containing Virginia Beach is,gemma
seattle-capital,The capital of the state containing Seattle is,gemma
morgantown-capital,The capital of the state containing Morgantown is,gemma
milwaukee-capital,The capital of the state containing Milwaukee is,gemma
casper-capital,The capital of the state containing Casper is,gemma
toronto-capital,The capital of the country containing Toronto is,gemma
vancouver-capital,The capital of the country containing Vancouver is,gemma
montreal-capital,The capital of the country containing Montreal is,gemma
guadalajara-capital,The capital of the country containing Guadalajara is,gemma
cancun-capital,The capital of the country containing Cancun is,gemma
rio-de-janeiro-capital,The capital of the country containing Rio de Janeiro is,gemma
sao-paulo-capital,The capital of the country containing Sao Paulo is,gemma
medellin-capital,The capital of the country containing Medellin is,gemma
cusco-capital,The capital of the country containing Cusco is,gemma
manchester-capital,The capital of the country containing Manchester is,gemma
liverpool-capital,The capital of the country containing Liverpool is,gemma
edinburgh-capital,The capital of the country containing Edinburgh is,gemma
glasgow-capital,The capital of the country containing Glasgow is,gemma
cork-capital,The capital of the country containing Cork is,gemma
marseille-capital,The capital of the country containing Marseille is,gemma
lyon-capital,The capital of the country containing Lyon is,gemma
bordeaux-capital,The capital of the country containing Bordeaux is,gemma
munich-capital,The capital of the country containing Munich is,gemma
hamburg-capital,The capital of the country containing Hamburg is,gemma
frankfurt-capital,The capital of the country containing Frankfurt is,gemma
milan-capital,The capital of the country containing Milan is,gemma
venice-capital,The capital of the country containing Venice is,gemma
florence-capital,The capital of the country containing Florence is,gemma
naples-capital,The capital of the country containing Naples is,gemma
barcelona-capital,The capital of the country containing Barcelona is,gemma
seville-capital,The capital of the country containing Seville is,gemma
valencia-capital,The capital of the country containing Valencia is,gemma
porto-capital,The capital of the country containing Porto is,gemma
rotterdam-capital,The capital of the country containing Rotterdam is,gemma
antwerp-capital,The capital of the country containing Antwerp is,gemma
salzburg-capital,The capital of the country containing Salzburg is,gemma
gothenburg-capital,The capital of the country containing Gothenburg is,gemma
bergen-capital,The capital of the country containing Bergen is,gemma
krakow-capital,The capital of the country containing Krakow is,gemma
thessaloniki-capital,The capital of the country containing Thessaloniki is,gemma
st-petersburg-capital,The capital of the country containing St. Petersburg is,gemma
istanbul-capital,The capital of the country containing Istanbul is,gemma
shanghai-capital,The capital of the country containing Shanghai is,gemma
osaka-capital,The capital of the country containing Osaka is,gemma
kyoto-capital,The capital of the country containing Kyoto is,gemma
busan-capital,The capital of the country containing Busan is,gemma
mumbai-capital,The capital of the country containing Mumbai is,gemma
bangalore-capital,The capital of the country containing Bangalore is,gemma
karachi-capital,The capital of the country containing Karachi is,gemma
phuket-capital,The capital of the country containing Phuket is,gemma
ho-chi-minh-capital,The capital of the country containing Ho Chi Minh City is,gemma
dubai-capital,The capital of the country containing Dubai is,gemma
alexandria-capital,The capital of the country containing Alexandria is,gemma
sydney-capital,The capital of the country containing Sydney is,gemma
melbourne-capital,The capital of the country containing Melbourne is,gemma
