slug,prompt,transcoder_set
add-2d-31-48,31+48=,gemma
add-2d-21-56,21+56=,gemma
add-2d-36-62,36+62=,gemma
add-2d-40-47,40+47=,gemma
add-2d-10-43,10+43=,gemma
add-2d-21-30,21+30=,gemma
add-2d-11-16,11+16=,gemma
add-2d-30-60,30+60=,gemma
add-2d-16-41,16+41=,gemma
add-2d-21-74,21+74=,gemma
add-2d-12-53,12+53=,gemma
add-2d-32-50,32+50=,gemma
add-2d-20-23,20+23=,gemma
add-2d-24-30,24+30=,gemma
add-2d-26-60,26+60=,gemma
add-2d-21-50,21+50=,gemma
add-2d-31-31,31+31=,gemma
add-2d-13-93,13+93=,gemma
add-2d-39-55,39+55=,gemma
add-2d-42-96,42+96=,gemma
add-2d-32-87,32+87=,gemma
add-2d-32-48,32+48=,gemma
add-2d-55-90,55+90=,gemma
add-2d-28-55,28+55=,gemma
add-2d-53-76,53+76=,gemma
add-2d-35-90,35+90=,gemma
add-2d-17-66,17+66=,gemma
add-2d-32-80,32+80=,gemma
add-2d-24-92,24+92=,gemma
add-2d-14-49,14+49=,gemma
add-2d-10-96,10+96=,gemma
add-2d-66-70,66+70=,gemma
add-2d-33-85,33+85=,gemma
add-2d-28-46,28+46=,gemma
add-2d-66-97,66+97=,gemma
add-2d-41-89,41+89=,gemma
add-2d-59-92,59+92=,gemma
add-2d-36-77,36+77=,gemma
add-2d-63-98,63+98=,gemma
add-2d-64-97,64+97=,gemma
add-2d-29-93,29+93=,gemma
add-2d-14-88,14+88=,gemma
add-2d-58-63,58+63=,gemma
add-2d-26-75,26+75=,gemma
add-2d-77-87,77+87=,gemma
add-2d-39-82,39+82=,gemma
add-2d-25-96,25+96=,gemma
add-2d-47-65,47+65=,gemma
add-2d-89-98,89+98=,gemma
add-2d-18-84,18+84=,gemma
add-2d-26-97,26+97=,gemma
add-2d-30-70,30+70=,gemma
add-2d-70-80,70+80=,gemma
add-2d-10-60,10+60=,gemma
add-2d-60-80,60+80=,gemma
add-2d-20-60,20+60=,gemma
add-2d-10-90,10+90=,gemma
add-2d-30-50,30+50=,gemma
add-2d-40-90,40+90=,gemma
add-2d-20-90,20+90=,gemma
add-2d-60-90,60+90=,gemma
add-2d-20-50,20+50=,gemma
add-2d-10-20,10+20=,gemma
add-2d-40-70,40+70=,gemma
add-2d-10-80,10+80=,gemma
add-2d-10-30,10+30=,gemma
add-2d-20-20,20+20=,gemma
add-2d-50-60,50+60=,gemma
add-2d-81-81,81+81=,gemma
add-2d-99-99,99+99=,gemma
add-2d-68-68,68+68=,gemma
add-2d-67-67,67+67=,gemma
add-2d-23-23,23+23=,gemma
add-2d-13-13,13+13=,gemma
add-2d-40-40,40+40=,gemma
add-2d-80-80,80+80=,gemma
add-2d-64-64,64+64=,gemma
add-2d-86-86,86+86=,gemma
add-2d-33-33,33+33=,gemma
add-2d-43-43,43+43=,gemma
add-2d-11-11,11+11=,gemma
add-2d-84-84,84+84=,gemma
add-2d-44-44,44+44=,gemma
add-2d-59-59,59+59=,gemma
