slug,variant,hop_type,intermediate_concept,correct_answer,predicted,predicted_prob,model_correct,top_k_rank,rank_score,notes,total_transcoder_nodes,hop_feature_count,hop_feature_fraction,hop_mean_influence,hop_max_influence,hop_found_in_clerp,hop_groups,hop_found_in_groups,hop_found
dallas-capital,a0,city→state→capital,Texas,Austin,Austin,0.3352,True,1,1.0,,1441,9,0.0062,0.3045,0.3403,True,"['Texas', 'say Texas', 'Output: ""Texas"" (4.1%)']",True,True
dallas-capital,a1,city→state→capital,Texas,Austin,Austin,0.3352,True,1,1.0,,1441,9,0.0062,0.3045,0.3403,True,"['Texas', 'say Texas', 'Output: ""Texas"" (4.1%)']",True,True
dallas-capital,a2,city→state→capital,Texas,Austin,Austin,0.3352,True,1,1.0,,1441,9,0.0062,0.3045,0.3403,True,"['Texas', 'say Texas', 'Output: ""Texas"" (4.1%)']",True,True
dallas-capital,a3,city→state→capital,Texas,Austin,Austin,0.3352,True,1,1.0,,1441,9,0.0062,0.3045,0.3403,True,"['Texas', 'say Texas', 'Output: ""Texas"" (4.1%)']",True,True
sf-capital,a0,city→state→capital,California,Sacramento,Sacramento,0.2969,True,1,1.0,Model may say San Francisco itself,1543,11,0.0071,0.3389,0.3983,True,"['California', 'say California', 'Output: ""California"" (5.0%)']",True,True
sf-capital,a1,city→state→capital,California,Sacramento,Sacramento,0.2969,True,1,1.0,Model may say San Francisco itself,1543,11,0.0071,0.3389,0.3983,True,"['California', 'say California', 'Output: ""California"" (5.0%)']",True,True
sf-capital,a2,city→state→capital,California,Sacramento,Sacramento,0.2969,True,1,1.0,Model may say San Francisco itself,1543,11,0.0071,0.3389,0.3983,True,"['California', 'say California', 'Output: ""California"" (5.0%)']",True,True
sf-capital,a3,city→state→capital,California,Sacramento,Sacramento,0.2969,True,1,1.0,Model may say San Francisco itself,1543,11,0.0071,0.3389,0.3983,True,"['California', 'say California', 'Output: ""California"" (5.0%)']",True,True
las-vegas-capital,a0,city→state→capital,Nevada,Carson City,Reno,0.1613,False,3,0.6,Carson City is obscure,1633,4,0.0024,0.3038,0.3787,True,"['say Nevada', 'Nevada', 'Output: ""Nevada"" (11.8%)']",True,True
las-vegas-capital,a1,city→state→capital,Nevada,Carson City,Reno,0.1613,False,3,0.6,Carson City is obscure,1633,4,0.0024,0.3038,0.3787,True,"['say Nevada', 'Nevada', 'Output: ""Nevada"" (11.8%)']",True,True
las-vegas-capital,a2,city→state→capital,Nevada,Carson City,Reno,0.1613,False,3,0.6,Carson City is obscure,1633,4,0.0024,0.3038,0.3787,True,"['say Nevada', 'Nevada', 'Output: ""Nevada"" (11.8%)']",True,True
las-vegas-capital,a3,city→state→capital,Nevada,Carson City,Reno,0.1613,False,3,0.6,Carson City is obscure,1633,4,0.0024,0.3038,0.3787,True,"['say Nevada', 'Nevada', 'Output: ""Nevada"" (11.8%)']",True,True
oakland-capital,a0,city→state→capital,California,Sacramento,Sacramento,0.2773,True,1,1.0,,1472,8,0.0054,0.3291,0.3717,True,['California'],True,True
oakland-capital,a1,city→state→capital,California,Sacramento,Sacramento,0.2773,True,1,1.0,,1472,8,0.0054,0.3291,0.3717,True,['California'],True,True
oakland-capital,a2,city→state→capital,California,Sacramento,Sacramento,0.2773,True,1,1.0,,1472,8,0.0054,0.3291,0.3717,True,['California'],True,True
oakland-capital,a3,city→state→capital,California,Sacramento,Sacramento,0.2773,True,1,1.0,,1472,8,0.0054,0.3291,0.3717,True,['California'],True,True
grand-canyon-capital,a0,landmark→state→capital,Arizona,Phoenix,Phoenix,0.2733,True,1,1.0,,1901,6,0.0032,0.3069,0.3763,True,"['Arizona', 'say Arizona-Tucson']",True,True
