slug,prompt,transcoder_set
marawi-grape-s3-11-ctx,"In the 2010s, researchers at Ariel University undertook field work to locate ancient indigenous grape varieties mentioned in historical sources, including the Marawi grape, which had survived as a table grape. In 2014, two wineries released wines made from this grape: Recanati",gemma
shyambazar-s32-14-ctx,"For many years tram cars were the only form of mass transport in Kolkata. Although the first motor car appeared in Kolkata in 1896, motor bus services started",gemma
dynasties-of-china-s20-9-ctx,"Similarly, the state of Qin that existed during the Zhou dynasty before its wars of unification and the establishment of the Qin dynasty in 221 BC is also referred to as the Predynastic Qin or Proto-Qin. The rise and fall of dynasties is a prominent",gemma
ancient-olympic-games-s26-13-ctx,"Greek historian Pausanias provides a story about the dactyl Heracles (not to be confused with the Heracles who was the son of Zeus and joined the Roman pantheon) and four of his brothers, Aeonius, Epimedes, Iasius and Idas, who raced at Olympia to entertain the newborn Zeus. He crowned the victor with an olive wreath (which thus became a peace",gemma
principal-photography-s2-14-ctx,"Besides the main film personnel, such as the actors, director, cinematographer(s) or sound engineer(s) and their respective assistants (assistant director, camera assistant, boom operator), the unit production manager plays a decisive role in principal photography. They are responsible for the daily implementation of the shoot, managing the daily call",gemma
dk-metcalf-s3-8-ctx,"After six seasons with the Seahawks, Metcalf was traded to the Steelers in 2025. He has one All-Pro selection and has been",gemma
desert-s43-13-ctx,"Deserts, both hot and cold, play a part in moderating Earth's temperature, because they reflect more of the incoming light and their albedo is higher than that of forests or the sea. A desert is a region of land that is very dry because it",gemma
henry-grinnell-s10-9-ctx,"A few years later, with the addition of Henry's brother-in-law, Robert Bowne Minturn, the firm became Grinnell, Minturn & Company, whose operations were greatly expanded by its entry into the general shipping business. The company became one of the strongest and best",gemma
glossary-of-computer-science-s44-14-ctx,"Some artifacts (e.g. use cases, class diagrams, and other Unified Modeling Language (UML) models, requirements, and design",gemma
you-talkin-to-me-film-s20-11-ctx,"The film premiered at the Montreal World Film Festival and the Deauville American Film Festival, where it received favorable notices. MGM/UA planned a national theatrical release, but canceled it following negative",gemma
2007-chicago-shamrox-season-s5-14-ctx,"The Toronto Rock and Philadelphia Wings also had 6-10 records, but the Rock won the tiebreakers and made the playoffs while the Shamrox and Wings were eliminated. Reference: x: Clinched playoff berth; c: Clinched playoff berth by crossing over to another",gemma
territorial-evolution-of-the-british-empire-s11-8-ctx,No uniform system of government was applied to any of these. Several countries (dominions) within the British Empire gained,gemma
national-museum-of-egyptian-civilization-s21-14-ctx,"The ticket prices for foreigners: 550 EGP (11$) for Adults, 300 EGP (6$) for Students. In late 2017, Zahi Hawass reported that Francis Ricciardone, the president of the American",gemma
human-skin-color-s43-11-ctx,"As hominids gradually lost their fur between 1.2 and 4 million years ago, to allow for better cooling through sweating, their naked skin was exposed to sunlight. In the tropics, natural selection favoured dark-skinned human populations as high",gemma
fault-geology-s24-10-ctx,The hanging wall occurs above the fault plane and the footwall occurs below it. This terminology comes from mining: when working a tabular ore,gemma
lotus-motor-vessel-s25-13-ctx,"Newell moved the yacht to a marina in Olympia, where the yacht remained. In 1981, Gruye bought the yacht back from Newell, and began an extensive",gemma
classical-music-s19-9-ctx,"Many composers actively avoided past techniques and genres in the lens of modernism, with some abandoning tonality in place of serialism, while others found new inspiration in folk melodies or impressionist sentiments. After World War II, for the first time audience",gemma
psychology-s14-14-ctx,"Some, but not all, clinical and counseling psychologists rely on symbolic interpretation. While psychological knowledge is often applied to the assessment and treatment of mental health",gemma
list-of-geological-features-on-charon-s9-9-ctx,"On 11 April 2018, the IAU announced that several of the feature names had been officially recognized. As of December 2025, this list contains 55 geological",gemma
joran-the-princess-of-snow-and-blood-s2-14-ctx,"Based on the 1973 film Lady Snowblood, itself an adaptation of the manga series of the same name by Kazuo Koike and Kazuo Kamimura, the series aired from April to June 2021. Joran is set in an alternate historical Japan, the 64th year of the Meiji",gemma
rural-municipality-of-mount-pleasant-no-2-s10-12-ctx,"Localities Elmore In the 2021 Census of Population conducted by Statistics Canada, the RM of Mount Pleasant No. 2 had a population of 419 living in 152 of its 182",gemma
behavioural-genetics-s18-12-ctx,"In 1869, 10 years after Darwin's On the Origin of Species, Galton published his results in Hereditary Genius. In this work, Galton found that the rate of ""eminence"" was highest",gemma
island-s15-9-ctx,"Islands became the target of colonization by Europeans, resulting in the majority of islands in the Pacific being put under European control. Decolonization has resulted in some but not all island",gemma
comparison-of-top-chess-players-throughout-history-s2-9-ctx,"There is agreement on a statistical system to rate the strengths of current players, called the Elo system, but disagreement about methods used to compare players from different generations who never competed against each other. This is because the Elo system can only compare",gemma
johnsville-meetinghouse-s1-12-ctx,"Johnsville Meetinghouse, also known as Johnsville Old German Baptist Meetinghouse, is a historic Old German Baptist Brethren meeting house located near Catawba, Roanoke County, Virginia. It was built in 1874, and is a simple, one story, one",gemma
chulayarnnon-siriphol-s12-10-ctx,"However, it faced censorship and prohibition due to its perceived infringement of Thailand's social norms under Article 29 of the country's Film and Video Act of 2008. ""Birth of Golden Snail"" incorporates both experimental and early silent",gemma
human-genetics-s4-15-ctx,"Study of human genetics can answer questions about human nature, can help understand diseases and the development of effective treatment and help us to understand the genetics of human life. This article describes only basic features of human genetics; for the genetics of disorders please",gemma
ancient-greek-philosophy-s15-14-ctx,"The convention of terming those philosophers who were active prior to the death of Socrates as the pre-Socratics gained currency with the 1903 publication of Hermann Diels' Fragmente der Vorsokratiker, although the term did not originate with him. The term is considered useful because what came to be known as the ""Athenian",gemma
on-photography-s34-9-ctx,Includes endnotes. Earlier versions of these essays appeared in The New,gemma
history-of-artificial-intelligence-s33-15-ctx,"Stories of these creatures and their fates consider many of the same hopes, fears and ethical concerns that are presented by modern artificial intelligence. Issues relevant to AI were also discussed in speculative essays such as Samuel Butler's ""Darwin",gemma
set-theory-music-s8-12-ctx,"For example, musicians use the terms transposition and inversion where mathematicians would use translation and reflection. Furthermore, where musical set theory refers to ordered sets, mathematics would normally",gemma
geologic-time-scale-s20-8-ctx,The principle of cross-cutting relationships that states a rock that cuts across another rock must be younger than the rock it cuts across. The law of included fragments that states small,gemma
lgbtq-literature-s3-12-ctx,There are LGBTQ literary awards to recognize works in this tradition. LGBTQ literature may refer to: Works by LGBTQ authors Works centering LGBTQ,gemma
probosutedjo-s21-11-ctx,Probosutedjo died on 26 March 2018 at the Cipto Mangunkusumo Hospital in Jakarta. Later the same day his body was taken to his home,gemma
old-st-mary-s-cemetery-wrought-iron-cross-site-s5-15-ctx,"The National Register database listing for this site does not identify any specific blacksmith whose work is present here. However, there were a number of ""German-Russian blacksmiths in central North Dakota"" who developed individual",gemma
