slug,variant,hop_type,num_hops,intermediate_concept,correct_answer,predicted,predicted_prob,model_correct,top_k_rank,rank_score,notes,all_supernodes,n_intermediate_concepts,n_hops_found,total_transcoder_nodes,hop_feature_count,hop_feature_fraction,hop_mean_influence,hop_max_influence,hop_found_in_clerp,hop_groups,prefix_matches,hop_found_in_groups,hop_found,concepts_found,concepts_missed,per_concept,num_intermediate_hops,predicted_max_hop,hops_found_in_graph
mquake-2012-skip,a2,skip-missed (from mquake-2012),2,"The Beatles, Brian Epstein",Europe,Asia,0.1311,False,2,0.8,"Skipped ['The Beatles', 'Brian Epstein'] (NOT found in graph) | kept ['United Kingdom'] | chain: The Beatles → Brian Epstein → United Kingdom → Europe | shortcut confirmed if still correct","['continent-region words', 'United States', 'Russia - Russian', 'say Asia', 'say location', 'Location mention', 'say Europe', 'say Europe-Asia', 'say European country', 'Emb: ""Human""', 'Emb: ""continent""', 'Emb: ""contains""', 'Emb: ""country""', 'Emb: ""Back""', 'Emb: ""associated""', 'Emb: ""Answer""', 'Emb: ""one""', 'Emb: ""word""', 'Emb: ""Assistant""', 'Output: ""Asia"" (13.1%) [target]', 'Output: ""Europe"" (11.5%)', 'Output: ""Africa"" (10.7%)']",1,0,2300,0,0.0,0.0,0.0,False,[],[],False,False,[],"['The Beatles, Brian Epstein']","{'The Beatles, Brian Epstein': {'found_in_group': False, 'feature_count': 0, 'matched_terms': []}}",0,,
mquake-2749-skip,a2,skip-missed (from mquake-2749),2,"The Beatles, Brian Epstein",London,London,0.1348,True,1,1.0,"Skipped ['The Beatles', 'Brian Epstein'] (NOT found in graph) | kept ['United Kingdom'] | chain: The Beatles → Brian Epstein → United Kingdom → London | shortcut confirmed if still correct","['say city name', 'capital (general)', 'Road-street tokens', 'Capital city', 'London', 'say British-UK', 'say country', 'Emb: ""Human""', 'Emb: ""city""', 'Emb: ""capital""', 'Emb: ""country""', 'Emb: ""Abbey""', 'Emb: ""Road""', 'Emb: ""associated""', 'Emb: ""Answer""', 'Emb: ""one""', 'Emb: ""word""', 'Emb: ""Assistant""', 'Output: ""London"" (13.5%) [target]', 'Output: ""Abbey"" (2.4%)', 'Output: ""England"" (2.0%)']",1,0,2351,0,0.0,0.0,0.0,False,[],[],False,False,[],"['The Beatles, Brian Epstein']","{'The Beatles, Brian Epstein': {'found_in_group': False, 'feature_count': 0, 'matched_terms': []}}",0,,
mquake-2847-skip,a2,skip-missed (from mquake-2847),3,England,London,The,0.0529,False,,0.0,"Skipped ['England'] (NOT found in graph) | kept ['midfielder', 'association football'] | chain: midfielder → association football → England → London | shortcut confirmed if still correct","['say place name', 'Football (soccer)', 'City', 'Emb: ""Human""', 'Emb: ""city""', 'Emb: ""capital""', 'Emb: ""country""', 'Emb: ""created""', 'Emb: ""sport""', 'Emb: ""Tom""', 'Emb: ""Clever""', 'Emb: ""ley""', 'Emb: ""associated""', 'Emb: ""Answer""', 'Emb: ""one""', 'Emb: ""word""', 'Emb: ""Assistant""', 'Output: ""The"" (5.3%) [target]', 'Output: ""England"" (2.6%)', 'Output: ""Manchester"" (2.2%)', 'Output: ""Yes"" (1.9%)']",1,0,2328,0,0.0,0.0,0.0,False,[],[],False,False,[],['England'],"{'England': {'found_in_group': False, 'feature_count': 0, 'matched_terms': []}}",0,,
mquake-2965-skip,a2,skip-missed (from mquake-2965),1,"Messerschmitt, Willy Messerschmitt, Germany",Europe,Africa,0.1145,False,2,0.8,"Skipped ['Messerschmitt', 'Willy Messerschmitt', 'Germany'] (NOT found in graph) | kept [] | chain: Messerschmitt → Willy Messerschmitt → Germany → Europe | shortcut confirmed if still correct","['Region-continent names', 'say country', 'Europe', 'say continent name', 'say place name', 'say European country', 'Emb: ""Human""', 'Emb: ""continent""', 'Emb: ""contains""', 'Emb: ""country""', 'Emb: ""associated""', 'Emb: ""Answer""', 'Emb: ""one""', 'Emb: ""word""', 'Emb: ""Assistant""', 'Output: ""Africa"" (11.4%) [target]', 'Output: ""Europe"" (9.1%)', 'Output: ""Asia"" (5.6%)']",1,0,2273,0,0.0,0.0,0.0,False,[],[],False,False,[],"['Messerschmitt, Willy Messerschmitt, Germany']","{'Messerschmitt, Willy Messerschmitt, Germany': {'found_in_group': False, 'feature_count': 0, 'matched_terms': []}}",0,,
mquake-2471-skip,a2,skip-missed (from mquake-2471),1,"Manchester United F.C., Ole Gunnar Solskjær, Norway",Europe,Africa,0.2665,False,3,0.6,"Skipped ['Manchester United F.C.', 'Ole Gunnar Solskjær', 'Norway'] (NOT found in graph) | kept [] | chain: Manchester United F.C. → Ole Gunnar Solskjær → Norway → Europe | shortcut confirmed if still correct","['Africa', 'continents', 'Places', 'world', 'Europe', 'say continent', 'say Europe', 'say country-region', 'say West', 'Emb: ""Human""', 'Emb: ""continent""', 'Emb: ""associated""', 'Emb: ""Louis""', 'Emb: ""van""', 'Emb: ""Ga""', 'Emb: ""al""', 'Emb: ""Answer""', 'Emb: ""one""', 'Emb: ""word""', 'Emb: ""Assistant""', 'Output: ""Africa"" (26.6%) [target]', 'Output: ""Asia"" (16.7%)', 'Output: ""Europe"" (12.5%)']",1,0,2215,0,0.0,0.0,0.0,False,[],[],False,False,[],"['Manchester United F.C., Ole Gunnar Solskjær, Norway']","{'Manchester United F.C., Ole Gunnar Solskjær, Norway': {'found_in_group': False, 'feature_count': 0, 'matched_terms': []}}",0,,
mquake-2185-skip,a2,skip-missed (from mquake-2185),1,"midfielder, association football, England",London,London,0.1369,True,1,1.0,"Skipped ['midfielder', 'association football', 'England'] (NOT found in graph) | kept [] | chain: midfielder → association football → England → London | shortcut confirmed if still correct","['Question starter', 'capital (general)', 'say place name', 'City names', 'Nigeria', 'Factual content words', 'say African place', 'Capital city', 'Emb: ""Human""', 'Emb: ""city""', 'Emb: ""capital""', 'Emb: ""country""', 'Emb: ""associated""', 'Emb: ""position""', 'Emb: ""played""', 'Emb: ""John""', 'Emb: ""Obi""', 'Emb: ""Mikel""', 'Emb: ""Answer""', 'Emb: ""one""', 'Emb: ""word""', 'Emb: ""Assistant""', 'Output: ""London"" (13.7%) [target]', 'Output: ""Nigeria"" (8.9%)', 'Output: ""Lagos"" (8.4%)']",1,0,2287,0,0.0,0.0,0.0,False,[],[],False,False,[],"['midfielder, association football, England']","{'midfielder, association football, England': {'found_in_group': False, 'feature_count': 0, 'matched_terms': []}}",0,,
mquake-2431-skip,a2,skip-missed (from mquake-2431),1,"association football manager, association football, England",London,London,0.0899,True,1,1.0,"Skipped ['association football manager', 'association football', 'England'] (NOT found in graph) | kept [] | chain: association football manager → association football → England → London | shortcut confirmed if still correct","['Question word', 'City (general)', 'say city name', 'Portuguese places', 'Capital city', 'Emb: ""Human""', 'Emb: ""city""', 'Emb: ""capital""', 'Emb: ""country""', 'Emb: ""sport""', 'Emb: ""tied""', 'Emb: ""André""', 'Emb: ""Villas""', 'Emb: ""Boas""', 'Emb: ""profession""', 'Emb: ""developed""', 'Emb: ""Answer""', 'Emb: ""one""', 'Emb: ""word""', 'Emb: ""Assistant""', 'Output: ""London"" (9.0%) [target]', 'Output: ""Paris"" (3.9%)', 'Output: ""Lisbon"" (3.3%)']",1,0,2277,0,0.0,0.0,0.0,False,[],[],False,False,[],"['association football manager, association football, England']","{'association football manager, association football, England': {'found_in_group': False, 'feature_count': 0, 'matched_terms': []}}",0,,
mquake-2557-skip,a2,skip-missed (from mquake-2557),2,"Terry Nation, Doctor Who",London,London,0.1623,True,1,1.0,"Skipped ['Terry Nation', 'Doctor Who'] (NOT found in graph) | kept ['United Kingdom'] | chain: Terry Nation → Doctor Who → United Kingdom → London | shortcut confirmed if still correct","['Capital-city context', 'Doctor Who', 'say city name', 'British - UK', 'say country', 'say London-UK', 'Emb: ""Human""', 'Emb: ""city""', 'Emb: ""capital""', 'Emb: ""country""', 'Emb: ""Doctor""', 'Emb: ""made""', 'Emb: ""located""', 'Emb: ""Answer""', 'Emb: ""one""', 'Emb: ""word""', 'Emb: ""Assistant""', 'Output: ""London"" (16.2%) [target]', 'Output: ""New"" (2.5%)', 'Output: ""Well"" (2.1%)']",1,1,2352,4,0.0017,0.3508,0.3908,False,['Doctor Who'],[],True,True,"['Terry Nation, Doctor Who']",[],"{'Terry Nation, Doctor Who': {'found_in_group': True, 'feature_count': 0, 'matched_terms': ['doctor', 'who']}}",0,,
mquake-2170-skip,a2,skip-missed (from mquake-2170),2,"A. A. Milne, Christopher Robin Milne",Europe,The,0.0721,False,4,0.4,"Skipped ['A. A. Milne', 'Christopher Robin Milne'] (NOT found in graph) | kept ['United Kingdom'] | chain: A. A. Milne → Christopher Robin Milne → United Kingdom → Europe | shortcut confirmed if still correct","['continent (African)', 'say demonym suffix', 'say country name', 'Europe', 'global-world', 'region-continent words', 'say Asia', 'say European country', 'say region-continent', 'Emb: ""Human""', 'Emb: ""continent""', 'Emb: ""country""', 'Emb: ""associated""', 'Emb: ""Winnie""', 'Emb: ""Pooh""', 'Emb: ""located""', 'Emb: ""Answer""', 'Emb: ""one""', 'Emb: ""word""', 'Emb: ""Assistant""', 'Output: ""The"" (7.2%) [target]', 'Output: ""Africa"" (5.9%)', 'Output: ""Europe"" (4.1%)', 'Output: ""Asia"" (3.9%)']",1,0,2298,0,0.0,0.0,0.0,False,[],[],False,False,[],"['A. A. Milne, Christopher Robin Milne']","{'A. A. Milne, Christopher Robin Milne': {'found_in_group': False, 'feature_count': 0, 'matched_terms': []}}",0,,
mquake-2718-skip,a2,skip-missed (from mquake-2718),2,"A. A. Milne, Christopher Robin Milne",English,English,0.1743,True,1,1.0,"Skipped ['A. A. Milne', 'Christopher Robin Milne'] (NOT found in graph) | kept ['United Kingdom'] | chain: A. A. Milne → Christopher Robin Milne → United Kingdom → English | shortcut confirmed if still correct","[""Question word 'What'"", 'Language names', 'speaking-speak cues', 'say language', 'say country', 'English (language)', 'say English', 'nationality', 'Britain-UK topic', 'say Asian language', 'Emb: ""Human""', 'Emb: ""language""', 'Emb: ""officially""', 'Emb: ""spoken""', 'Emb: ""country""', 'Emb: ""associated""', 'Emb: ""Winnie""', 'Emb: ""Pooh""', 'Emb: ""Answer""', 'Emb: ""one""', 'Emb: ""word""', 'Emb: ""Assistant""', 'Output: ""English"" (17.4%) [target]', 'Output: ""French"" (4.3%)', 'Output: ""German"" (3.8%)']",1,0,2217,0,0.0,0.0,0.0,False,[],[],False,False,[],"['A. A. Milne, Christopher Robin Milne']","{'A. A. Milne, Christopher Robin Milne': {'found_in_group': False, 'feature_count': 0, 'matched_terms': []}}",0,,
