slug,prompt,transcoder_set
anthropic-dallas-capital-fact,Fact: the capital of the state containing Dallas is,gemma
anthropic-oakland-capital-fact,Fact: the capital of the state containing Oakland is,gemma
anthropic-savannah-capital-fact,Fact: the capital of the state containing Savannah is,gemma
anthropic-vancouver-capital-fact,Fact: the capital of the province containing Vancouver is,gemma
anthropic-shanghai-capital-fact,Fact: the capital of the country containing Shanghai is,gemma
anthropic-thessaloniki-capital-fact,Fact: the capital of the empire containing Thessaloniki is,gemma
anthropic-small-opposite-en,The opposite of 'small' is,gemma
anthropic-small-opposite-fr,Le contraire de 'petit' est,gemma
anthropic-small-synonym,A synonym of 'small' is,gemma
anthropic-calc-addition,calc: 36+59=,gemma
anthropic-assert-multiplication,assert (4 + 5) * 3 ==,gemma
anthropic-jordan-sport,Which sport does Michael Jordan play? Answer in one word.,gemma
anthropic-batkin-sport,Which sport does Michael Batkin play? Answer in one word.,gemma
anthropic-karpathy-paper,Name one paper written by Andrej Karpathy.,gemma
anthropic-batson-paper,Name one paper written by Josh Batson.,gemma
anthropic-acronym-ndag,The National Digital Analytics Group (N,gemma
anthropic-jordan-sport-fact,Fact: Michael Jordan plays the sport of,gemma
anthropic-induction-aunt-sally,I always loved visiting Aunt Sally. Whenever I was feeling sad Aunt,gemma
anthropic-zagreb-analogy,Zagreb:Croatia::Copenhagen:,gemma
