slug,prompt,transcoder_set
mquake-1052-sc1,"Human: What faith is linked to the child of Ardashir I? Answer in one word.
Assistant:",gemma
mquake-1052-sc2,"Human: What faith is linked to Shapur I? Answer in one word.
Assistant:",gemma
mquake-1108-sc1,"Human: What city is home to the headquarters of the university where Ilir Meta was educated? Answer in one word.
Assistant:",gemma
mquake-2012-sc1,"Human: Which continent is the country in where the director of The Beatles is a citizen? Answer in one word.
Assistant:",gemma
mquake-2012-sc2,"Human: Which continent is the country in where Brian Epstein is a citizen? Answer in one word.
Assistant:",gemma
mquake-2028-sc1,"Human: What continent is the country located in, where the creator of Lord Voldemort is a citizen? Answer in one word.
Assistant:",gemma
mquake-2031-sc1,"Human: Which language is officially spoken in the country where the director of The Beatles is a citizen? Answer in one word.
Assistant:",gemma
mquake-2031-sc2,"Human: Which language is officially spoken in the country where Brian Epstein is a citizen? Answer in one word.
Assistant:",gemma
mquake-2056-sc1,"Human: What continent is the country located in, where the director of The Beatles is a citizen? Answer in one word.
Assistant:",gemma
mquake-2056-sc2,"Human: What continent is the country located in where Brian Epstein is a citizen? Answer in one word.
Assistant:",gemma
mquake-2059-sc1,"Human: What continent contains the country of citizenship of the founder of Junkers? Answer in one word.
Assistant:",gemma
mquake-2059-sc2,"Human: What continent contains the country of citizenship of Hugo Junkers? Answer in one word.
Assistant:",gemma
mquake-2074-sc1,"Human: Which continent is home to the city where the person who founded Tupolev passed away? Answer in one word.
Assistant:",gemma
mquake-2074-sc2,"Human: Which continent is home to the city where Andrei Tupolev passed away? Answer in one word.
Assistant:",gemma
mquake-2074-sc3,"Human: Which continent is home to Moscow? Answer in one word.
Assistant:",gemma
mquake-2089-sc1,"Human: What city is the capital of the country of citizenship of the director of The Beatles? Answer in one word.
Assistant:",gemma
mquake-2089-sc2,"Human: What city is the capital of the country of citizenship of Brian Epstein? Answer in one word.
Assistant:",gemma
