slug,prompt,intermediate_concept,correct_answer,hop_type,notes
birmingham-capital,The capital of the state containing Birmingham is,Alabama,Montgomery,city→state→capital,
anchorage-capital,The capital of the state containing Anchorage is,Alaska,Juneau,city→state→capital,
grand-canyon-capital,The capital of the state containing the Grand Canyon is,Arizona,Phoenix,landmark→state→capital,
fort-smith-capital,The capital of the state containing Fort Smith is,Arkansas,Little Rock,city→state→capital,
los-angeles-capital,The capital of the state containing Los Angeles is,California,Sacramento,city→state→capital,
colorado-springs-capital,The capital of the state containing Colorado Springs is,Colorado,Denver,city→state→capital,
new-haven-capital,The capital of the state containing New Haven is,Connecticut,Hartford,city→state→capital,
wilmington-capital,The capital of the state containing Wilmington is,Delaware,Dover,city→state→capital,
miami-capital,The capital of the state containing Miami is,Florida,Tallahassee,city→state→capital,
savannah-capital,The capital of the state containing Savannah is,Georgia,Atlanta,city→state→capital,
pearl-harbor-capital,The capital of the state containing Pearl Harbor is,Hawaii,Honolulu,landmark→state→capital,
twin-falls-capital,The capital of the state containing Twin Falls is,Idaho,Boise,city→state→capital,
chicago-capital,The capital of the state containing Chicago is,Illinois,Springfield,city→state→capital,
south-bend-capital,The capital of the state containing South Bend is,Indiana,Indianapolis,city→state→capital,
cedar-rapids-capital,The capital of the state containing Cedar Rapids is,Iowa,Des Moines,city→state→capital,
wichita-capital,The capital of the state containing Wichita is,Kansas,Topeka,city→state→capital,
louisville-capital,The capital of the state containing Louisville is,Kentucky,Frankfort,city→state→capital,
new-orleans-capital,The capital of the state containing New Orleans is,Louisiana,Baton Rouge,city→state→capital,
bar-harbor-capital,The capital of the state containing Bar Harbor is,Maine,Augusta,city→state→capital,
baltimore-capital,The capital of the state containing Baltimore is,Maryland,Annapolis,city→state→capital,
cambridge-capital,The capital of the state containing Cambridge is,Massachusetts,Boston,city→state→capital,
detroit-capital,The capital of the state containing Detroit is,Michigan,Lansing,city→state→capital,
minneapolis-capital,The capital of the state containing Minneapolis is,Minnesota,Saint Paul,city→state→capital,
biloxi-capital,The capital of the state containing Biloxi is,Mississippi,Jackson,city→state→capital,
st-louis-capital,The capital of the state containing St. Louis is,Missouri,Jefferson City,city→state→capital,
billings-capital,The capital of the state containing Billings is,Montana,Helena,city→state→capital,
