slug,prompt,intermediate_concept,correct_answer,hop_type,notes
marawi-grape-s3-11-ctx,"In the 2010s, researchers at Ariel University undertook field work to locate ancient indigenous grape varieties mentioned in historical sources, including the Marawi grape, which had survived as a table grape. In 2014, two wineries released wines made from this grape: Recanati",N/A,winery,next-token prediction,wikipedia article: Marawi (grape) | top1_prob: 0.400
shyambazar-s32-14-ctx,"For many years tram cars were the only form of mass transport in Kolkata. Although the first motor car appeared in Kolkata in 1896, motor bus services started",N/A,only,next-token prediction,wikipedia article: Shyambazar | top1_prob: 0.400
dynasties-of-china-s20-9-ctx,"Similarly, the state of Qin that existed during the Zhou dynasty before its wars of unification and the establishment of the Qin dynasty in 221 BC is also referred to as the Predynastic Qin or Proto-Qin. The rise and fall of dynasties is a prominent",N/A,feature,next-token prediction,wikipedia article: Dynasties of China | top1_prob: 0.400
ancient-olympic-games-s26-13-ctx,"Greek historian Pausanias provides a story about the dactyl Heracles (not to be confused with the Heracles who was the son of Zeus and joined the Roman pantheon) and four of his brothers, Aeonius, Epimedes, Iasius and Idas, who raced at Olympia to entertain the newborn Zeus. He crowned the victor with an olive wreath (which thus became a peace",N/A,symbol,next-token prediction,wikipedia article: Ancient Olympic Games | top1_prob: 0.401
principal-photography-s2-14-ctx,"Besides the main film personnel, such as the actors, director, cinematographer(s) or sound engineer(s) and their respective assistants (assistant director, camera assistant, boom operator), the unit production manager plays a decisive role in principal photography. They are responsible for the daily implementation of the shoot, managing the daily call",N/A,sheet,next-token prediction,wikipedia article: Principal photography | top1_prob: 0.401
dk-metcalf-s3-8-ctx,"After six seasons with the Seahawks, Metcalf was traded to the Steelers in 2025. He has one All-Pro selection and has been",N/A,named,next-token prediction,wikipedia article: DK Metcalf | top1_prob: 0.399
desert-s43-13-ctx,"Deserts, both hot and cold, play a part in moderating Earth's temperature, because they reflect more of the incoming light and their albedo is higher than that of forests or the sea. A desert is a region of land that is very dry because it",N/A,receives,next-token prediction,wikipedia article: Desert | top1_prob: 0.398
henry-grinnell-s10-9-ctx,"A few years later, with the addition of Henry's brother-in-law, Robert Bowne Minturn, the firm became Grinnell, Minturn & Company, whose operations were greatly expanded by its entry into the general shipping business. The company became one of the strongest and best",N/A,known,next-token prediction,wikipedia article: Henry Grinnell | top1_prob: 0.402
glossary-of-computer-science-s44-14-ctx,"Some artifacts (e.g. use cases, class diagrams, and other Unified Modeling Language (UML) models, requirements, and design",N/A,documents,next-token prediction,wikipedia article: Glossary of computer science | top1_prob: 0.402
you-talkin-to-me-film-s20-11-ctx,"The film premiered at the Montreal World Film Festival and the Deauville American Film Festival, where it received favorable notices. MGM/UA planned a national theatrical release, but canceled it following negative",N/A,reviews,next-token prediction,wikipedia article: You Talkin' to Me? (film) | top1_prob: 0.403
2007-chicago-shamrox-season-s5-14-ctx,"The Toronto Rock and Philadelphia Wings also had 6-10 records, but the Rock won the tiebreakers and made the playoffs while the Shamrox and Wings were eliminated. Reference: x: Clinched playoff berth; c: Clinched playoff berth by crossing over to another",N/A,division,next-token prediction,wikipedia article: 2007 Chicago Shamrox season | top1_prob: 0.397
territorial-evolution-of-the-british-empire-s11-8-ctx,No uniform system of government was applied to any of these. Several countries (dominions) within the British Empire gained,N/A,independence,next-token prediction,wikipedia article: Territorial evolution of the British Empire | top1_prob: 0.404
national-museum-of-egyptian-civilization-s21-14-ctx,"The ticket prices for foreigners: 550 EGP (11$) for Adults, 300 EGP (6$) for Students. In late 2017, Zahi Hawass reported that Francis Ricciardone, the president of the American",N/A,university,next-token prediction,wikipedia article: National Museum of Egyptian Civilization | top1_prob: 0.404
human-skin-color-s43-11-ctx,"As hominids gradually lost their fur between 1.2 and 4 million years ago, to allow for better cooling through sweating, their naked skin was exposed to sunlight. In the tropics, natural selection favoured dark-skinned human populations as high",N/A,levels,next-token prediction,wikipedia article: Human skin color | top1_prob: 0.396
fault-geology-s24-10-ctx,The hanging wall occurs above the fault plane and the footwall occurs below it. This terminology comes from mining: when working a tabular ore,N/A,body,next-token prediction,wikipedia article: Fault (geology) | top1_prob: 0.404
