slug,prompt,graph_slug,subgraph_id,url
albuquerque-capital,<bos>The capital of the state containing Albuquerque is,llm-slt-albuquerque-capital,cmtp0m1ir0000lae2jdt9rka3,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-albuquerque-capital&subgraph=cmtp0m1ir0000lae2jdt9rka3
alexandria-capital,<bos>The capital of the country containing Alexandria is,llm-slt-alexandria-capital,cmtp0ml4e0003lae252krvug3,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-alexandria-capital&subgraph=cmtp0ml4e0003lae252krvug3
anchorage-capital,<bos>The capital of the state containing Anchorage is,llm-slt-anchorage-capital,cmtp0n55y0006lae2xgf79urs,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-anchorage-capital&subgraph=cmtp0n55y0006lae2xgf79urs
antwerp-capital,<bos>The capital of the country containing Antwerp is,llm-slt-antwerp-capital,cmtp1q7bs001ivfzv2bnv1uhn,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-antwerp-capital&subgraph=cmtp1q7bs001ivfzv2bnv1uhn
atlantic-city-capital,<bos>The capital of the state containing Atlantic City is,llm-slt-atlantic-city-capital,cmtp23ohg001m13ohffkt4fdf,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-atlantic-city-capital&subgraph=cmtp23ohg001m13ohffkt4fdf
baltimore-capital,<bos>The capital of the state containing Baltimore is,llm-slt-baltimore-capital,cmtp248xg0002zqvylo1r31m1,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-baltimore-capital&subgraph=cmtp248xg0002zqvylo1r31m1
bangalore-capital,<bos>The capital of the country containing Bangalore is,llm-slt-bangalore-capital,cmtp24stn001p13oh1el3ygyy,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-bangalore-capital&subgraph=cmtp24stn001p13oh1el3ygyy
bar-harbor-capital,<bos>The capital of the state containing Bar Harbor is,llm-slt-bar-harbor-capital,cmtp25d1o0000ooqybq4tnzhg,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-bar-harbor-capital&subgraph=cmtp25d1o0000ooqybq4tnzhg
barcelona-capital,<bos>The capital of the country containing Barcelona is,llm-slt-barcelona-capital,cmtp25wts0003ooqytrzinid8,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-barcelona-capital&subgraph=cmtp25wts0003ooqytrzinid8
bergen-capital,<bos>The capital of the country containing Bergen is,llm-slt-bergen-capital,cmtp26gbh00005kkj9ba6t8ns,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-bergen-capital&subgraph=cmtp26gbh00005kkj9ba6t8ns
billings-capital,<bos>The capital of the state containing Billings is,llm-slt-billings-capital,cmtp336s50000qu47e62o21sr,https://neuronpedia.org/gemma-2-2b/graph?slug=llm-slt-billings-capital&subgraph=cmtp336s50000qu47e62o21sr
