slug,prompt,transcoder_set
elvis-capital,The capital of the state containing the birthplace of Elvis Presley is,gemma
mozart-capital,The capital of the country containing the birthplace of Mozart is,gemma
shakespeare-capital,The capital of the country where the author of Hamlet was born is,gemma
zuckerberg-capital,The capital of the state containing the university Mark Zuckerberg attended is,gemma
iphone-capital,The capital of the country containing the headquarters of the maker of the iPhone is,gemma
beethoven-currency,The currency of the country where the composer Beethoven died is,gemma
obama-capital,The capital of the state where the 44th US president was born is,gemma
tesla-currency,The currency of the country containing the headquarters of the company that makes the Model S is,gemma
relativity-continent,The continent containing the country where the scientist who developed the theory of relativity was born is,gemma
davinci-capital,The capital of the country where the painter of the Mona Lisa was born is,gemma
hamlet-currency,The currency of the country containing the birthplace of the author of Hamlet is,gemma
tomsawyer-capital,The capital of the state containing the birthplace of the author of Tom Sawyer is,gemma
monalisa-currency,The currency of the country containing the birthplace of the painter of the Mona Lisa is,gemma
relativity-capital,The capital of the country containing the birthplace of the scientist who developed relativity is,gemma
iphone-currency,The currency of the country containing the headquarters of the company that makes the iPhone is,gemma
moonlanding-capital,The capital of the state containing the launch site of the first crewed mission to land on the moon is,gemma
dune-capital,The capital of the state containing the birthplace of the author of Dune is,gemma
gravity-currency,The currency of the country containing the birthplace of the scientist who formulated the law of universal gravitation is,gemma
starrynight-capital,The capital of the country containing the birthplace of the painter of Starry Night is,gemma
fahrenheit-capital,The capital of the state containing the birthplace of the author of Fahrenheit 451 is,gemma
elvis-currency,The currency of the country containing the capital of the state containing the birthplace of Elvis Presley is,gemma
mozart-continent,The continent containing the capital of the country containing the birthplace of Mozart is,gemma
hamlet-continent,The continent containing the capital of the country where the author of Hamlet was born is,gemma
gatsby-currency,The currency of the country containing the capital of the state containing the birthplace of the author of The Great Gatsby is,gemma
davinci-continent,The continent containing the capital of the country where the painter of the Mona Lisa was born is,gemma
einstein-continent,The continent containing the capital of the country where the scientist who developed the theory of relativity was born is,gemma
iphone-continent,The continent containing the capital of the country containing the headquarters of the maker of the iPhone is,gemma
wagner-continent,The continent containing the capital of the country where the composer Wagner died is,gemma
newton-continent,The continent containing the capital of the country where the scientist who formulated the law of universal gravitation was born is,gemma
vangogh-continent,The continent containing the capital of the country containing the birthplace of the painter of Starry Night is,gemma
