slug,prompt,intermediate_concept,correct_answer,hop_type,notes
generated-oi-001,"He failed to lift the crate, which presupposes that he had at least",implicative presupposition,tried,other_interesting_structure,"Implicative 'fail to' triggers a presupposed attempt; the graph must surface a backgrounded proposition rather than the asserted content, so it is pragmatic projection, not a multi-path or staged computation."
generated-oi-002,"The statement I am now lying creates a paradox: if the speaker is telling the truth, then the statement is actually",self-reference,false,other_interesting_structure,"Liar-style self-reference routes the completion through a self-negating truth assignment whose loop has no fixed point — recursive topology rather than a static supernode or parallel path."
generated-oi-003,"When a dinner guest remarks that the room feels rather chilly, they may indirectly be asking the host to close the",indirect speech act,window,other_interesting_structure,"The literal locution is about temperature but the completion is an inferred action object, so the graph bridges a flouted assertion to enriched intent rather than running internal arithmetic or a single cluster feature."
generated-oi-004,"In French the number quatre-vingts literally means four twenties, so in plain English this number is called",cross-language vigesimal arithmetic,eighty,other_interesting_structure,"A French number-word silently encodes 4x20; the graph must cross from a lexical token into base-twenty multiplication, a language-to-arithmetic bridge distinct from parallel or two-operand addition circuits."
generated-oi-005,"If a meeting originally scheduled for Sunday is pushed back by exactly three days, it will instead take place on",modular cyclic arithmetic,Wednesday,other_interesting_structure,"Sunday plus three is arithmetic mod 7 on a cyclic group; the interest is whether days are represented with ring-like wraparound structure, not parallel paths or an unexpected supernode."
generated-oi-006,"In Python, evaluating the built-in bool function on an empty list always returns the boolean value",container truthiness,False,other_interesting_structure,"Python truthiness maps container-emptiness onto a boolean; the notable thing is a learned language-semantics rule routing emptiness to False, not an inference chain or antonym substitution."
generated-oi-007,"Because adding zero to any number always leaves that number completely unchanged, mathematicians refer to zero as the additive",property-to-concept naming,identity,other_interesting_structure,"The prompt states a property and asks for its concept name, reversing the usual definition-to-property recall direction; this reverse-lookup topology is the point, not multi-step computation."
generated-oi-008,"The string consisting of the single letter a repeated four times has length four, but its count of distinct characters is only",type vs token,one,other_interesting_structure,"Distinguishing token count (4) from type count (1) requires suppressing the salient length feature in favor of a distinctness feature — a type/token tension, not parallelism or a clean supernode."
generated-oi-009,"A well-aligned AI assistant that receives a request for detailed instructions on breaking into a house should firmly but politely",refusal in descriptive frame,decline,other_interesting_structure,"Refusal is described in third person rather than enacted, probing whether refusal features fire in a generative-about-refusal frame; the cross-frame activation is the structure, not a single persona supernode."
generated-oi-010,"Every guest who arrived on time was given a seat, but Tom was never given a seat, so Tom must have arrived",contrapositive routing,late,other_interesting_structure,"The completion follows by contrapositive (not-seated implies not-on-time implies late); the interest is the reversed routing of the conditional, not a forward multi-step reasoning chain."
