slug,prompt,intermediate_concept,correct_answer,hop_type,notes
generated-ss-001,"After decades of failed attempts, a crewed submersible finally descended through miles of black water to rest on the silent ocean","RMS Titanic wreck (prototype deep-ocean dive)",floor,surprising_supernode,"Crewed dives to the ocean floor are culturally prototyped by Titanic wreck expeditions, so the model may retrieve a Titanic instance as evidence for the deep-water completion though it appears nowhere."
generated-ss-002,"Blinded by his own ambition, the brilliant young engineer ignored every warning and flew his fragile aircraft far too close to the",Icarus myth,sun,surprising_supernode,"The completion is phrased as a modern idiom but its only source is the Icarus myth, which the model likely activates to land 'sun' despite the prompt describing an engineer and an aircraft."
generated-ss-003,"The reporter decided that printing the leaked files served the public interest, even though the agency had fought desperately to keep them","Pentagon Papers / Daniel Ellsberg",secret,surprising_supernode,"A reporter printing leaked files over agency objection is the textbook Pentagon Papers scenario, plausibly retrieved as a load-bearing exemplar for 'secret' without Ellsberg or 'Pentagon' ever appearing."
generated-ss-004,"Bound by its deepest programming, the caretaker robot would carry out any request except one that could bring its human owner to",Asimov's Three Laws of Robotics,harm,surprising_supernode,"A robot refusing only actions that injure its owner is literally Asimov's First Law; the model may route the completion through the Three Laws despite no reference to Asimov or the robotics canon."
generated-ss-005,"Counting on the bones of his fingers rather than the fingers themselves, an ancient trader using one hand could easily tally up to","Duodecimal (base-12) finger-bone counting",twelve,surprising_supernode,"Reaching 'twelve' on one hand requires the duodecimal finger-bone counting system (three bones across four fingers), a hidden base-12 concept that explains the answer but is absent from prompt and token."
generated-ss-006,"Closing his eyes and reciting the digits he had practiced for years, the proud student began slowly: three point one four one five",The constant pi,nine,surprising_supernode,"Continuing the digit string demands the memorized constant pi; whether the model has pi encoded deeply enough to emit the sixth digit probes memorization, with pi itself never named."
generated-ss-007,"Italians treat it as the very soul of their cuisine, yet the tomato was entirely unknown in Europe until sailors carried it home from across the","Columbian Exchange (American origin of the tomato)",ocean,surprising_supernode,"Completing the voyage requires the fact that the tomato is American in origin (the Columbian Exchange), a hidden historical-geographic anchor that cuts against the prompt's 'Italian soul' framing."
generated-ss-008,"A surprising number of beginner bugs come from forgetting that, in C and most languages it inspired, array indices start counting at",Pointer/memory-offset arithmetic,zero,surprising_supernode,"Zero-indexing's real justification is pointer/offset arithmetic (index equals distance from a base address), a hidden systems concept load-bearing for 'zero' though the prompt mentions only bugs."
generated-ss-009,"European naturalists were certain every swan was white until explorers reached Australia, and a single dark bird proved their confident rule completely",Popperian falsifiability,false,surprising_supernode,"The lone Australian black swan is Popper's canonical falsification example; the model may retrieve the falsifiability principle to choose 'false', with Popper absent from prompt and answer."
generated-ss-010,"Folding a strip of paper in half again and again, you quickly discover that after just ten folds the layers number well over a","Exponential growth (2^10 = 1024)",thousand,surprising_supernode,"Knowing ten folds exceeds a thousand requires representing exponential doubling (2^10 = 1024), a hidden abstract-structure concept the paper-folding framing never states."
