slug,prompt,intermediate_concept,correct_answer,hop_type,notes
ancient-greek-s23-9,"Homeric Greek had significant differences in grammar and pronunciation from Classical Attic and other Classical-era dialects. The origins, early form and development of the Hellenic",N/A,language,next-token prediction,wikipedia article: Ancient Greek | top1_prob: 0.400
cradle-of-civilization-s5-12,"All depended upon farmers producing an agricultural surplus to support the centralized government, political leaders, religious leaders, and public works of the urban centers of the early civilizations. The earliest signs of a process leading to sedentary culture can be",N/A,seen,next-token prediction,wikipedia article: Cradle of civilization | top1_prob: 0.399
climate-s16-8,Climate change may occur over long and short timescales due to various factors. Recent warming is discussed in terms of global,N/A,warming,next-token prediction,wikipedia article: Climate | top1_prob: 0.398
language-family-s6-11,"The Romance family itself is part of the larger Indo-European family, which includes many other languages native to Europe and South Asia, all believed to have descended from a common ancestor known as Proto-Indo-European. A language family is usually said to contain at least two",N/A,languages,next-token prediction,wikipedia article: Language family | top1_prob: 0.397
lotus-subbiflorus-s3-8,Its native distribution is in southern and western Europe and North Africa. It occurs as a scarce plant in south-west,N/A,england,next-token prediction,wikipedia article: Lotus subbiflorus | top1_prob: 0.405
hogna-carolinensis-s29-9,"Therefore, they are able to inhabit many types of geography and topology. Research suggests that these spiders prefer flatter and more",N/A,open,next-token prediction,wikipedia article: Hogna carolinensis | top1_prob: 0.406
climate-change-mitigation-s2-10,Climate change mitigation actions include conserving energy and replacing fossil fuels with clean energy sources. Secondary mitigation strategies include changes to land use and removing,N/A,carbon,next-token prediction,wikipedia article: Climate change mitigation | top1_prob: 0.394
exoplanet-s6-11,"There are many methods of detecting exoplanets. Transit photometry and Doppler spectroscopy have found the most, but these",N/A,methods,next-token prediction,wikipedia article: Exoplanet | top1_prob: 0.393
history-of-philosophy-s6-8,The Renaissance period saw a renewed interest in Ancient Greek philosophy and the emergence of humanism. The modern period was characterized by an increased,N/A,focus,next-token prediction,wikipedia article: History of philosophy | top1_prob: 0.392
glossary-of-computer-science-s44-14,"Some artifacts (e.g. use cases, class diagrams, and other Unified Modeling Language (UML) models, requirements, and design",N/A,documents,next-token prediction,wikipedia article: Glossary of computer science | top1_prob: 0.392
bsc-swot-s3-10,The four perspectives in BSC is combined with the four dimensions of SWOT in a matrix where findings may be inserted. To identify FINANCIAL (first perspective of the BSC) STRENGTHS (the,N/A,first,next-token prediction,wikipedia article: BSC SWOT | top1_prob: 0.408
stacking-chemistry-s21-9,"What is more commonly observed are either a staggered stacking (parallel displaced) or pi-teeing (perpendicular T-shaped) interaction both of which are electrostatic attractive. For example, the most commonly observed interactions between aromatic",N/A,rings,next-token prediction,wikipedia article: Stacking (chemistry) | top1_prob: 0.409
chemistry-band-s18-15,"Their new single ""Windy"" was used as the second ending theme song for the anime adaptation of Altair: A Record of Battles. Official website (in Japanese) Chemistry at Sony Music Japan (in Japanese) Chemistry at Sony Music",N/A,japan,next-token prediction,wikipedia article: Chemistry (band) | top1_prob: 0.390
anthropology-s43-13,"In his keynote address, printed in the first volume of its new publication, The Anthropological Review, Hunt stressed the work of Waitz, adopting his definitions as a standard. Among the first associates were the young Edward Burnett Tylor, inventor of cultural",N/A,anthropology,next-token prediction,wikipedia article: Anthropology | top1_prob: 0.410
pluralism-political-philosophy-s10-13,"Madison feared that factionalism would lead to in-fighting in the new American republic and devotes this paper to questioning how best to avoid such an occurrence. He posits that to avoid factionalism, it is best to allow many competing",N/A,factions,next-token prediction,wikipedia article: Pluralism (political philosophy) | top1_prob: 0.388
pchum-ben-s8-13,"In temples adhering to canonical protocol, the offering of food itself is made from the laypeople to the (living) Buddhist monks, thus generating ""merit"" that indirectly benefits the dead. However, in many temples, this is either accompanied by or superseded by food",N/A,offerings,next-token prediction,wikipedia article: Pchum Ben | top1_prob: 0.414
2024-haitian-jailbreak-s13-8,"Police were reported to be undermanned and outgunned by the gangs, with only 9,000 operating in Haiti at the time of the fighting. The 400 Mawozo gang operates in the Croix-des-Bouquets",N/A,area,next-token prediction,wikipedia article: 2024 Haitian jailbreak | top1_prob: 0.417
political-philosophy-s8-10,Conservatism seeks to preserve traditional institutions and practices. It is skeptical of the human ability to radically reform,N/A,society,next-token prediction,wikipedia article: Political philosophy | top1_prob: 0.421
acid-jazz-s31-14,"After one self-titled album (1990) with Acid Jazz Records, the group signed with FFRR Records and had the hit singles ""Never Stop"" and ""Dream Come True"". Other bands included Incognito and Us3, whose ""Cantaloop (Flip Fantasia)"" (1993) was the biggest",N/A,hit,next-token prediction,wikipedia article: Acid jazz | top1_prob: 0.378
biological-anthropology-s19-9,"Primatology is the study of non-human primate behavior, morphology, and genetics. Primatologists use phylogenetic methods to infer which traits humans",N/A,share,next-token prediction,wikipedia article: Biological anthropology | top1_prob: 0.378
heroic-age-of-antarctic-exploration-s29-12,"In the twenty years following Ross' return, there was a general lull internationally in Antarctic exploration. The initial impetus for the renewed exploration of the Antarctic that became",N/A,known,next-token prediction,wikipedia article: Heroic Age of Antarctic Exploration | top1_prob: 0.424
garden-international-school-bangkok-s4-8,Garden International School Bangkok was founded in 1999 to provide a British-style education to both expatriate and local families in Bangkok. It is part of the Garden International School,N/A,group,next-token prediction,wikipedia article: Garden International School Bangkok | top1_prob: 0.425
