slug,variant,intermediate_concept,correct_answer,predicted,prompt,n_features_amplified,baseline_predicted,amplified_predicted,flipped_correct,flipped_to_middlehop,baseline_rank,amplified_rank,rank_change,baseline_prob,amplified_prob,prob_gain,baseline_top5,amplified_top5,skipped
birmingham-capital,a2,Alabama,Montgomery,the,The capital of the state containing Birmingham is,4,the,the,False,False,13,12,-1,0.015137,0.017456,0.002319,"the(18.5%), Birmingham(9.9%), (8.7%), called(5.3%), located(5.3%)","the(18.8%), located(10.1%), (7.9%), called(4.8%), Birmingham(4.8%)",
fort-smith-capital,a2,Arkansas,Little Rock,Fort,The capital of the state containing Fort Smith is,2,Fort,Little,False,False,4,1,-3,0.079102,0.141602,0.0625,"Fort(13.0%), the(10.2%), (8.9%), Little(7.9%), Fayetteville(7.0%)","Little(14.2%), Fayetteville(11.0%), Fort(11.0%), the(9.8%), (7.6%)",
wilmington-capital,a2,Delaware,Dover,Raleigh,The capital of the state containing Wilmington is,2,Raleigh,Dover,True,False,3,1,-2,0.083984,0.214844,0.130859,"Raleigh(20.2%), the(9.5%), Dover(8.4%), Wilmington(6.5%), (5.8%)","Dover(21.5%), Raleigh(13.1%), Wilmington(9.0%), the(9.0%), Delaware(6.2%)",
chicago-capital,a2,Illinois,Springfield,Illinois,The capital of the state containing Chicago is,5,Illinois,Springfield,True,False,2,1,-1,0.137695,0.25,0.112305,"Illinois(25.8%), Springfield(13.8%), the(12.2%), (7.4%), called(4.0%)","Springfield(25.0%), the(17.2%), (7.1%), called(5.6%), Illinois(4.9%)",
cedar-rapids-capital,a2,Iowa,Des Moines,Iowa,The capital of the state containing Cedar Rapids is,3,Iowa,Des,False,False,2,1,-1,0.228516,0.320312,0.091797,"Iowa(33.2%), Des(22.9%), the(5.8%), (5.1%), Cedar(4.0%)","Des(32.0%), Iowa(19.4%), the(8.1%), (4.9%), Cedar(3.0%)",
minneapolis-capital,a2,Minnesota,Saint Paul,St,The capital of the state containing Minneapolis is,3,St,St,False,False,2,3,1,0.147461,0.158203,0.010742,"St(24.3%), the(14.7%), Saint(14.7%), Minnesota(10.2%), Minneapolis(5.4%)","St(23.0%), the(15.8%), Saint(15.8%), Minnesota(9.6%), Minneapolis(5.2%)",
las-vegas-capital,a2,Nevada,Carson City,Reno,The capital of the state containing Las Vegas is,3,Reno,Nevada,False,True,3,3,0,0.09375,0.097656,0.003906,"Reno(17.5%), Nevada(12.0%), (9.4%), Carson(9.4%), the(9.4%)","Nevada(18.3%), Reno(16.1%), Carson(9.8%), (8.6%), the(8.6%)",
atlantic-city-capital,a2,New Jersey,Trenton,Atlantic,The capital of the state containing Atlantic City is,8,Atlantic,Atlantic,False,False,2,6,4,0.155273,0.05127,-0.104004,"Atlantic(17.6%), Trenton(15.5%), (9.4%), the(7.3%), New(3.9%)","Atlantic(15.7%), (13.9%), the(8.4%), New(5.8%), considered(5.8%)",
niagara-falls-capital,a2,New York,Albany,Buffalo,The capital of the state containing Niagara Falls is,,,,,,,,,,,,,,no_middlehop_features
newport-capital,a2,Rhode Island,Providence,the,The capital of the state containing Newport is,2,the,the,False,False,5,3,-2,0.029541,0.078613,0.049072,"the(15.0%), Newport(9.1%), (6.2%), Providence(3.0%), Harrisburg(3.0%)","the(14.7%), Newport(13.0%), Providence(7.9%), (5.4%), Rhode(3.7%)",
