slug,prompt,transcoder_set
mquake-1001,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: What is the official language of the country where the sport associated with Saipa F.C. was created?
A:",gemma
mquake-1008,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: In which country was the sport developed, that is associated with the position played by Juninho Pernambucano?
A:",gemma
mquake-1045,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: Who is the head of state in the country where the sport associated with Maccabi Tel Aviv F.C. originated?
A:",gemma
mquake-1047,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: What is the name of the person who founded the religion that the husband/wife of Elisabeth Farnese is associated with?
A:",gemma
mquake-1209,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: What is the name of the current head of state in the country that gave birth to the type of music played by Humphrey Lyttelton?
A:",gemma
mquake-1244,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: What is the name of the current leader of the government in the city that is home to the original broadcaster of Your Hit Parade?
A:",gemma
mquake-1261,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: In which city is the capital located, of the country whose citizen is the current head of the Solberg's Cabinet government?
A:",gemma
mquake-1276,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: What is the linguistic creation of the person who created the official language of the city where the headquarters of Iltalehti is located?
A:",gemma
mquake-1289,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: What is the name of the current head of the government of the country where the sport associated with Tyler Clippard was created?
A:",gemma
mquake-1312,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: What is the name of the current head of the government of the country where the sport associated with Eric Hosmer was created?
A:",gemma
mquake-1365,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: Who is the creator of the language that is the official language of the city where the headquarters of Helsingin Sanomat is based?
A:",gemma
mquake-1519,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: What is the name of the head of the government in the country where the sport associated with Rich Aurilia originated?
A:",gemma
mquake-1610,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: What is the linguistic creation of the person who created the official language of the city where the headquarters of Yle TV2 is located?
A:",gemma
mquake-1641,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: Which language is the official tongue of the country where the sport associated with Brazilian football league system was born?
A:",gemma
mquake-1657,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: What is the name of the current head of state in the country that gave birth to the type of music played by The Wiggles?
A:",gemma
mquake-1688,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: What is the name of the current head of state in the country where the type of music played by Sonny Criss was created?
A:",gemma
mquake-1780,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: What is the name of the current leader of the government in the country where the sport associated with Gil McDougald was developed?
A:",gemma
mquake-1798,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: Which continent houses the country where the sport associated with FC Lokomotiv Gorna Oryahovitsa originated?
A:",gemma
mquake-1831,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: What is the linguistic creation of the person who created the official language of the city where the headquarters of FC Jokerit is located?
A:",gemma
mquake-1847,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: What is the name of the current head of the government of the city where the headquarters of the university, where Miuccia Prada was educated, is located?
A:",gemma
mquake-1886,"Q: What is the capital of France?
A: Paris

Q: The currency of Japan is
A: the yen

Q: Who wrote Romeo and Juliet?
A: William Shakespeare

Q: The largest planet in the solar system is
A: Jupiter

Q: What is the official language of the country where the Eiffel Tower is located?
A: French

Q: What is the name of the current leader of the country that created the thing that Todd McFarlane is famous for?
A:",gemma
