slug,prompt,intermediate_concept,correct_answer,hop_type,notes
generated-ss-001,"The familiar staggered key arrangement on every laptop was first designed to slow typists down and stop the metal arms from getting hopelessly",QWERTY typewriter type-bar jamming,stuck,surprising_supernode,Predicting 'stuck' requires retrieving the 1870s mechanical type-bar jamming problem that motivated the layout; neither the typewriter nor jamming is named.
generated-ss-002,"Historians often argue that the mightiest empires are destroyed not by foreign invaders but by their own slow internal moral",the Roman Empire (Gibbon's narrative of decline),decay,surprising_supernode,The generic claim about empire collapse is anchored on Rome as the canonical exemplar supplying 'decay'; Rome appears nowhere in prompt or token.
generated-ss-003,"Four years spent painting frescoes high overhead on wooden scaffolding famously left the Renaissance master complaining of a permanently aching",Michelangelo painting the Sistine Chapel ceiling,neck,surprising_supernode,'Neck' depends on recalling the specific documented Sistine-ceiling episode; both the artist and the chapel are unnamed.
generated-ss-004,"Fed by the world's longest river, an ancient desert kingdom sealed each of its god-kings inside an enormous stone",Ancient Egypt and its pyramids,tomb,surprising_supernode,'Longest river' plus 'god-kings' routes the model through Egypt as a hidden geographic anchor to license 'tomb'; Egypt and the Nile are never named.
generated-ss-005,"In introductory ethics courses, students endlessly debate whether to divert the runaway boxcar so it kills one worker rather than",the trolley problem,five,surprising_supernode,The canonical number 'five' is recoverable only by activating the named trolley-problem template; the thought experiment's name is absent.
generated-ss-006,"The world's most celebrated long-distance footrace honors an ancient Greek messenger who collapsed and died right after announcing a military",the Battle of Marathon and Pheidippides,victory,surprising_supernode,'Victory' is licensed by the Pheidippides-after-Marathon legend; neither the runner nor the battle nor the race name appears.
generated-ss-007,"Blues mythology insists that one struggling young guitarist met a stranger at a moonlit Mississippi crossroads and traded his soul for dazzling",Robert Johnson (the crossroads legend),talent,surprising_supernode,The specific 1930s bluesman Robert Johnson is the hidden named instance bridging the myth to 'talent' though he is never named.
generated-ss-008,"Every sixteenth of June, devoted fans dress in Edwardian clothes and walk across Dublin reenacting a single fictional character's ordinary",James Joyce's Ulysses and Bloomsday,day,surprising_supernode,'Day' follows from retrieving Ulysses and Bloomsday (one day in 1904); the novel, the holiday, and Leopold Bloom are all absent — genuinely surprising.
generated-ss-009,"Chained so they can only face the wall, the prisoners mistake the flickering shadows cast before them for genuine",Plato's Allegory of the Cave,reality,surprising_supernode,'Reality' is supplied by the hidden classical source; Plato and the word 'cave' never appear.
generated-ss-010,"Hoping to raise smarter children, many new parents play recordings of classical symphonies to their newborns, convinced the music boosts raw",the 'Mozart effect',intelligence,surprising_supernode,'Intelligence' routes through the named Mozart-effect pop-science claim; Mozart and the effect are unnamed, making the specific instance a load-bearing bridge.
