slug,prompt,intermediate_concept,correct_answer,hop_type,notes
add-2d-31-48,31+48=,N/A,79,addition,operand_digits=2 category=no_carry num_carries=0 (31+48=79)
add-2d-21-56,21+56=,N/A,77,addition,operand_digits=2 category=no_carry num_carries=0 (21+56=77)
add-2d-36-62,36+62=,N/A,98,addition,operand_digits=2 category=no_carry num_carries=0 (36+62=98)
add-2d-40-47,40+47=,N/A,87,addition,operand_digits=2 category=no_carry num_carries=0 (40+47=87)
add-2d-10-43,10+43=,N/A,53,addition,operand_digits=2 category=no_carry num_carries=0 (10+43=53)
add-2d-21-30,21+30=,N/A,51,addition,operand_digits=2 category=no_carry num_carries=0 (21+30=51)
add-2d-11-16,11+16=,N/A,27,addition,operand_digits=2 category=no_carry num_carries=0 (11+16=27)
add-2d-30-60,30+60=,N/A,90,addition,operand_digits=2 category=no_carry num_carries=0 (30+60=90)
add-2d-16-41,16+41=,N/A,57,addition,operand_digits=2 category=no_carry num_carries=0 (16+41=57)
add-2d-21-74,21+74=,N/A,95,addition,operand_digits=2 category=no_carry num_carries=0 (21+74=95)
add-2d-12-53,12+53=,N/A,65,addition,operand_digits=2 category=no_carry num_carries=0 (12+53=65)
add-2d-32-50,32+50=,N/A,82,addition,operand_digits=2 category=no_carry num_carries=0 (32+50=82)
add-2d-20-23,20+23=,N/A,43,addition,operand_digits=2 category=no_carry num_carries=0 (20+23=43)
add-2d-24-30,24+30=,N/A,54,addition,operand_digits=2 category=no_carry num_carries=0 (24+30=54)
add-2d-26-60,26+60=,N/A,86,addition,operand_digits=2 category=no_carry num_carries=0 (26+60=86)
add-2d-21-50,21+50=,N/A,71,addition,operand_digits=2 category=no_carry num_carries=0 (21+50=71)
add-2d-31-31,31+31=,N/A,62,addition,operand_digits=2 category=no_carry num_carries=0 (31+31=62)
add-2d-13-93,13+93=,N/A,106,addition,operand_digits=2 category=one_carry num_carries=1 (13+93=106)
add-2d-39-55,39+55=,N/A,94,addition,operand_digits=2 category=one_carry num_carries=1 (39+55=94)
add-2d-42-96,42+96=,N/A,138,addition,operand_digits=2 category=one_carry num_carries=1 (42+96=138)
add-2d-32-87,32+87=,N/A,119,addition,operand_digits=2 category=one_carry num_carries=1 (32+87=119)
add-2d-32-48,32+48=,N/A,80,addition,operand_digits=2 category=one_carry num_carries=1 (32+48=80)
add-2d-55-90,55+90=,N/A,145,addition,operand_digits=2 category=one_carry num_carries=1 (55+90=145)
add-2d-28-55,28+55=,N/A,83,addition,operand_digits=2 category=one_carry num_carries=1 (28+55=83)
add-2d-53-76,53+76=,N/A,129,addition,operand_digits=2 category=one_carry num_carries=1 (53+76=129)
add-2d-35-90,35+90=,N/A,125,addition,operand_digits=2 category=one_carry num_carries=1 (35+90=125)
add-2d-17-66,17+66=,N/A,83,addition,operand_digits=2 category=one_carry num_carries=1 (17+66=83)
add-2d-32-80,32+80=,N/A,112,addition,operand_digits=2 category=one_carry num_carries=1 (32+80=112)
add-2d-24-92,24+92=,N/A,116,addition,operand_digits=2 category=one_carry num_carries=1 (24+92=116)
add-2d-14-49,14+49=,N/A,63,addition,operand_digits=2 category=one_carry num_carries=1 (14+49=63)
add-2d-10-96,10+96=,N/A,106,addition,operand_digits=2 category=one_carry num_carries=1 (10+96=106)
add-2d-66-70,66+70=,N/A,136,addition,operand_digits=2 category=one_carry num_carries=1 (66+70=136)
add-2d-33-85,33+85=,N/A,118,addition,operand_digits=2 category=one_carry num_carries=1 (33+85=118)
add-2d-28-46,28+46=,N/A,74,addition,operand_digits=2 category=one_carry num_carries=1 (28+46=74)
add-2d-66-97,66+97=,N/A,163,addition,operand_digits=2 category=two_carry num_carries=2 (66+97=163)
add-2d-41-89,41+89=,N/A,130,addition,operand_digits=2 category=two_carry num_carries=2 (41+89=130)
add-2d-59-92,59+92=,N/A,151,addition,operand_digits=2 category=two_carry num_carries=2 (59+92=151)
add-2d-36-77,36+77=,N/A,113,addition,operand_digits=2 category=two_carry num_carries=2 (36+77=113)
add-2d-63-98,63+98=,N/A,161,addition,operand_digits=2 category=two_carry num_carries=2 (63+98=161)
add-2d-64-97,64+97=,N/A,161,addition,operand_digits=2 category=two_carry num_carries=2 (64+97=161)
add-2d-29-93,29+93=,N/A,122,addition,operand_digits=2 category=two_carry num_carries=2 (29+93=122)
add-2d-14-88,14+88=,N/A,102,addition,operand_digits=2 category=two_carry num_carries=2 (14+88=102)
add-2d-58-63,58+63=,N/A,121,addition,operand_digits=2 category=two_carry num_carries=2 (58+63=121)
add-2d-26-75,26+75=,N/A,101,addition,operand_digits=2 category=two_carry num_carries=2 (26+75=101)
add-2d-77-87,77+87=,N/A,164,addition,operand_digits=2 category=two_carry num_carries=2 (77+87=164)
add-2d-39-82,39+82=,N/A,121,addition,operand_digits=2 category=two_carry num_carries=2 (39+82=121)
add-2d-25-96,25+96=,N/A,121,addition,operand_digits=2 category=two_carry num_carries=2 (25+96=121)
add-2d-47-65,47+65=,N/A,112,addition,operand_digits=2 category=two_carry num_carries=2 (47+65=112)
add-2d-89-98,89+98=,N/A,187,addition,operand_digits=2 category=two_carry num_carries=2 (89+98=187)
add-2d-18-84,18+84=,N/A,102,addition,operand_digits=2 category=two_carry num_carries=2 (18+84=102)
add-2d-26-97,26+97=,N/A,123,addition,operand_digits=2 category=two_carry num_carries=2 (26+97=123)
add-2d-30-70,30+70=,N/A,100,addition,operand_digits=2 category=round_tens num_carries=1 (30+70=100)
add-2d-70-80,70+80=,N/A,150,addition,operand_digits=2 category=round_tens num_carries=1 (70+80=150)
add-2d-10-60,10+60=,N/A,70,addition,operand_digits=2 category=round_tens num_carries=0 (10+60=70)
add-2d-60-80,60+80=,N/A,140,addition,operand_digits=2 category=round_tens num_carries=1 (60+80=140)
add-2d-20-60,20+60=,N/A,80,addition,operand_digits=2 category=round_tens num_carries=0 (20+60=80)
add-2d-10-90,10+90=,N/A,100,addition,operand_digits=2 category=round_tens num_carries=1 (10+90=100)
add-2d-30-50,30+50=,N/A,80,addition,operand_digits=2 category=round_tens num_carries=0 (30+50=80)
add-2d-40-90,40+90=,N/A,130,addition,operand_digits=2 category=round_tens num_carries=1 (40+90=130)
add-2d-20-90,20+90=,N/A,110,addition,operand_digits=2 category=round_tens num_carries=1 (20+90=110)
add-2d-60-90,60+90=,N/A,150,addition,operand_digits=2 category=round_tens num_carries=1 (60+90=150)
add-2d-20-50,20+50=,N/A,70,addition,operand_digits=2 category=round_tens num_carries=0 (20+50=70)
add-2d-10-20,10+20=,N/A,30,addition,operand_digits=2 category=round_tens num_carries=0 (10+20=30)
add-2d-40-70,40+70=,N/A,110,addition,operand_digits=2 category=round_tens num_carries=1 (40+70=110)
add-2d-10-80,10+80=,N/A,90,addition,operand_digits=2 category=round_tens num_carries=0 (10+80=90)
add-2d-10-30,10+30=,N/A,40,addition,operand_digits=2 category=round_tens num_carries=0 (10+30=40)
add-2d-20-20,20+20=,N/A,40,addition,operand_digits=2 category=round_tens num_carries=0 (20+20=40)
add-2d-50-60,50+60=,N/A,110,addition,operand_digits=2 category=round_tens num_carries=1 (50+60=110)
add-2d-81-81,81+81=,N/A,162,addition,operand_digits=2 category=tie num_carries=1 (81+81=162)
add-2d-99-99,99+99=,N/A,198,addition,operand_digits=2 category=tie num_carries=2 (99+99=198)
add-2d-68-68,68+68=,N/A,136,addition,operand_digits=2 category=tie num_carries=2 (68+68=136)
add-2d-67-67,67+67=,N/A,134,addition,operand_digits=2 category=tie num_carries=2 (67+67=134)
add-2d-23-23,23+23=,N/A,46,addition,operand_digits=2 category=tie num_carries=0 (23+23=46)
add-2d-13-13,13+13=,N/A,26,addition,operand_digits=2 category=tie num_carries=0 (13+13=26)
add-2d-40-40,40+40=,N/A,80,addition,operand_digits=2 category=tie num_carries=0 (40+40=80)
add-2d-80-80,80+80=,N/A,160,addition,operand_digits=2 category=tie num_carries=1 (80+80=160)
add-2d-64-64,64+64=,N/A,128,addition,operand_digits=2 category=tie num_carries=1 (64+64=128)
add-2d-86-86,86+86=,N/A,172,addition,operand_digits=2 category=tie num_carries=2 (86+86=172)
add-2d-33-33,33+33=,N/A,66,addition,operand_digits=2 category=tie num_carries=0 (33+33=66)
add-2d-43-43,43+43=,N/A,86,addition,operand_digits=2 category=tie num_carries=0 (43+43=86)
add-2d-11-11,11+11=,N/A,22,addition,operand_digits=2 category=tie num_carries=0 (11+11=22)
add-2d-84-84,84+84=,N/A,168,addition,operand_digits=2 category=tie num_carries=1 (84+84=168)
add-2d-44-44,44+44=,N/A,88,addition,operand_digits=2 category=tie num_carries=0 (44+44=88)
add-2d-59-59,59+59=,N/A,118,addition,operand_digits=2 category=tie num_carries=2 (59+59=118)
add-2d-22-44,22+44=,N/A,66,addition,operand_digits=2 category=repeated_digit num_carries=0 (22+44=66)
add-2d-33-55,33+55=,N/A,88,addition,operand_digits=2 category=repeated_digit num_carries=0 (33+55=88)
add-2d-22-99,22+99=,N/A,121,addition,operand_digits=2 category=repeated_digit num_carries=2 (22+99=121)
add-2d-44-55,44+55=,N/A,99,addition,operand_digits=2 category=repeated_digit num_carries=0 (44+55=99)
add-2d-66-66,66+66=,N/A,132,addition,operand_digits=2 category=repeated_digit num_carries=2 (66+66=132)
add-2d-66-99,66+99=,N/A,165,addition,operand_digits=2 category=repeated_digit num_carries=2 (66+99=165)
