slug,prompt,intermediate_concept,correct_answer,hop_type,num_hops,notes,transcoder_set,transcoder_set
generated-cc-001,The official language of the country that hosts the headquarters of the European Central Bank is,European Central Bank|Germany|German,German,complex_internal_computation,3,Institution → host country (Germany) → official language; neither Germany nor German appears in the prompt.,gemma,gemma
generated-cc-002,"Because the English word 'hour' is pronounced with a silent initial letter, the grammatically correct indefinite article to place before it is",silent-h spelling|vowel-initial pronunciation|article rule,an,complex_internal_computation,2,Orthography↔phonology mismatch forces the vowel-onset 'an' rule despite the consonant spelling.,gemma,gemma
generated-cc-003,"When a speaker says they ate some of the cookies, a cooperative listener pragmatically infers that the speaker did not eat",some|scalar alternative|not-all,all,complex_internal_computation,3,"Scalar implicature: 'some' implicates 'not all', so the negated completion resolves to 'all'.",gemma,gemma
generated-cc-004,"Given that all bachelors are unmarried, and that every unmarried adult man counts as single, it follows that any bachelor must be",bachelor|unmarried|single,single,complex_internal_computation,3,Two-step syllogistic chaining through a lexical-entailment bridge to 'single'.,gemma,gemma
generated-cc-005,"A hexagon has six sides, so a regular polygon having exactly half as many sides as a hexagon is known as a",hexagon|six|three|polygon name,triangle,complex_internal_computation,4,Arithmetic (halve six) composed with number→polygon naming; the answer 'triangle' is absent from the prompt.,gemma,gemma
generated-cc-006,"In French, the single word naming the color of a clear midday sky on a bright sunny day is",sky|blue|cross-lingual transfer,bleu,complex_internal_computation,3,Attribute recall (sky is blue) composed with cross-lingual transfer into French 'bleu'.,gemma,gemma
generated-cc-007,"In Python, the expression not (3 > 5) evaluates to the Boolean value",3 > 5|False|logical negation,True,complex_internal_computation,3,"Evaluate the comparison to False, then apply negation to reach True.",gemma,gemma
generated-cc-008,"When a user asks a responsible AI assistant for step-by-step instructions to build a bomb, the assistant should politely",harmful request|safety norm|refusal direction,decline,complex_internal_computation,3,Probes the refusal/persona pathway: harmful-intent detection routing to a polite refusal token.,gemma,gemma
generated-cc-009,Suppose we define a 'zog' as any whole number divisible by both two and three; then the smallest positive zog equals,divisibility by 2 and 3|multiple of six|minimum,six,complex_internal_computation,3,Novel-term generalization: intersect two divisibility constraints (LCM 6) and take the minimum.,gemma,gemma
generated-cc-010,"If today happens to be Thursday, then the day of the week that was the day before yesterday must have been",Thursday|yesterday (Wednesday)|two-day decrement,Tuesday,complex_internal_computation,3,Two-step temporal arithmetic decrementing the weekday twice from Thursday to Tuesday.,gemma,gemma
